county_fips,median_hh_income,pct_bachelors_plus,pct_poverty
17045,59941,20.4,12.0
17047,60519,13.9,16.5
17049,80404,26.9,10.1
17051,60944,17.2,15.5
17053,62439,18.9,12.4
17055,56740,15.8,17.5
17057,60599,18.5,13.2
17059,59219,13.6,13.6
17061,62192,19.0,14.3
17063,92235,23.6,6.0
17065,65746,21.0,12.1
17067,65865,25.1,12.3
17069,54271,13.3,11.0
17071,62227,20.6,13.9
17073,71911,24.7,8.9
17075,66255,18.2,12.5
17077,48763,36.3,21.0
17079,74755,20.9,11.1
17081,63118,18.2,13.5
17083,80361,22.6,8.8
17085,73993,28.9,7.8
17087,62528,19.6,17.6
17089,103163,38.1,7.9
17091,71281,21.2,12.2
17093,111601,36.9,5.4
17095,57030,21.0,14.6
17097,110416,47.7,8.3
17099,73045,20.5,13.9
17101,55324,14.9,14.5
17103,70292,19.4,11.8
17105,73790,19.0,10.5
17107,66358,20.9,13.1
17109,52795,31.4,17.2
17111,104802,35.2,6.2
17113,79905,47.2,12.9
17115,62666,24.4,15.0
17117,70805,20.3,13.1
17119,75793,31.0,11.1
17121,61240,16.8,15.4
17123,71585,18.0,11.4
17125,62845,17.1,14.8
17127,65116,17.0,16.3
17129,82176,28.3,10.1
17131,74182,20.9,8.9
17133,102880,38.7,5.0
17135,63620,18.3,12.6
17137,66306,22.6,13.4
17139,71784,19.0,9.2
17141,82132,24.3,8.4
17143,65108,34.9,15.7
17145,62118,13.7,16.9
17147,94811,32.9,6.1
17149,59777,18.5,14.8
17151,60050,15.7,13.3
17153,42463,13.0,25.0
17155,75590,22.9,8.1
17157,68131,15.2,14.6
17159,62455,19.1,12.1
17161,67159,24.7,15.5
17163,73854,31.8,13.6
17165,53117,19.6,18.9
17167,75357,36.6,13.1
17169,65948,19.1,20.8
17171,66705,21.5,11.5
17173,72095,18.3,9.2
17175,62878,21.4,11.1
17177,64043,20.7,13.9
17179,77982,28.4,9.0
17181,55728,20.9,20.2
17183,56877,19.2,17.7
17185,57086,18.6,16.7
17187,67385,22.0,14.6
17189,78224,23.5,7.5
17191,55521,16.3,16.1
17193,54813,18.3,16.4
17195,67500,20.5,12.0
17197,109984,37.5,7.3
17199,65604,26.2,13.8
17201,65837,25.2,15.6
17203,91483,35.9,7.0
18001,65289,16.2,11.2
18003,70737,31.6,12.5
18005,79901,34.1,10.5
18007,65875,19.8,13.9
18009,51326,14.5,16.2
18011,111250,51.7,4.5
18013,78528,26.4,7.8
18015,65645,17.2,8.8
18017,56403,16.5,13.2
18019,74214,27.7,10.2
18021,70010,20.3,11.7
18023,65019,16.5,9.8
18025,49640,11.4,22.9
18027,68503,16.5,11.7
18029,84735,25.3,7.6
18031,69783,20.0,10.2
18033,74331,20.2,9.5
18035,58127,26.2,19.6
18037,75979,25.7,11.0
18039,68561,20.1,12.4
18041,59321,16.0,17.9
18043,79704,32.9,10.3
18045,62542,14.7,12.4
18047,78074,19.5,6.9
18049,61360,16.9,15.3
18051,67573,18.5,10.8
18053,53522,20.3,19.8
18055,62094,16.1,12.8
18057,121530,61.9,4.4
18059,93186,34.9,4.7
18061,74475,21.7,7.2
18063,101144,39.5,5.3
18065,63150,17.5,13.6
18067,64027,20.8,13.4
18069,66301,21.3,9.9
18071,70262,20.3,12.3
18073,77314,19.2,8.4
18075,54969,13.3,14.4
18077,64577,19.8,12.3
18079,69322,14.8,12.6
