_orig_row,GUID,CEEB,Name,Region,City,sector,n12,leaid7,C_ap_opportunity,C_ap_performance,C_advanced_access,C_ib,C_stem_depth,C_test_performance,C_test_participation,C_college_placement,C_faculty_investment,rigor_score_v5,rigor_tier_num_v5,rigor_tier_label_v5,rigor_tier_num_v5_quantile,rigor_tier_label_v5_quantile,rigor_score_v5_sector,rigor_tier_num_v5_sector,rigor_tier_label_v5_sector,rigor_expected_ses,rigor_residual_v5,overperformer_v5,n_components,weight_covered,components_available,rigor_weighting_scheme_v5,rigor_tier_method_v5,rigor_score_v5_raw,below_coverage_floor,qd,ib_int,stem_breadth,pct_college,pct_certified,instr_spend_per_pupil,sat_score,ap_score,grad,poverty
37076,a4797d1a-e369-4aee-b665-9a7d26b599ab,341894,Southern Wake Academy,NC,Holly Springs,public,,3700114,-0.3789288800700878,-0.33992833477013734,-0.6578468956732559,-0.17503127158841358,,,-0.5068268183814527,,,-0.40855016914610826,2.0,Average,2.0,Average,-0.5339932294640627,2.0,Average,-0.05418456879498279,-0.35436560035112546,False,5,0.5499999999999999,"ap_opportunity,ap_performance,advanced_access,ib,test_participation",designed_v5,jenks_natural_breaks_k5,-0.40855016914610826,False,1.155696323691769,0.0,,,,,,2.81,87.0,9.6
37077,58a0d916-0523-453d-86dd-ebb0b4b97dd0,341023,Southern Wayne High School,NC,Dudley,public,370488001963,3704880,,,-0.9766780606015548,-0.17503127158841358,-0.03167262229722768,,-0.7990378626320855,0.05273632298817261,-0.12034132447579016,-0.33395990872416775,2.0,Average,2.0,Average,-0.3969328446423488,2.0,Average,-0.6315786094247997,0.29761870070063196,False,6,0.45,"advanced_access,ib,stem_depth,test_participation,college_placement,faculty_investment",designed_v5,jenks_natural_breaks_k5,-0.33395990872416775,False,,0.0,3.0,63.0,100.0,7693.574389682174,,,79.0,28.8
37078,c8d4cb4c-e31c-43c4-8884-1785788d9852,152893,Southern Wells High School,IN,Poneto,public,181077001765,1810770,-0.20592870105707922,-0.9682566877462914,1.0054290775053754,-0.17503127158841358,0.7621916886736692,,-0.4048676236359815,1.4367998581782437,-0.46114626083429927,0.054811452406217424,3.0,Demanding,4.0,Very Demanding,0.31743860362408544,3.0,Demanding,0.04864349961026898,0.006167952795948443,False,8,0.8,"ap_opportunity,ap_performance,advanced_access,ib,stem_depth,test_participation,college_placement,faculty_investment",designed_v5,jenks_natural_breaks_k5,0.054811452406217424,False,0.4753340400176866,0.0,4.0,94.5,96.7,6432.616081540204,,1.95,97.5,9.8
37081,cdc852b0-fe3e-46b2-9f5a-9ca15f159e6b,335943,Southern Westchester Boces,NY,White Plains,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,,designed_v5,jenks_natural_breaks_k5,,False,,,,,,,,,,
37083,58cdd5c9-8c79-4b1f-a19a-714f6fa75d97,003776,Southestrn Free Will Bapt Coll,NC,Wendell,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,,designed_v5,jenks_natural_breaks_k5,,False,,,,,,,,,,
37085,e588540b-3009-4cd1-bab6-ec9bca8a7620,233459,Southfield Christian HS,MI,Southfield,private,,,0.20341206504805634,-0.03004690006369796,,,,0.23853559536288924,-1.1925053081369423,1.3087286876326003,,0.204938788819228,3.0,Demanding,4.0,Very Demanding,-0.28472017644622843,2.0,Average,,,False,5,0.7000000000000001,"ap_opportunity,ap_performance,test_performance,test_participation,college_placement",designed_v5,jenks_natural_breaks_k5,0.204938788819228,False,1.4912400558605376,,,94.5,,,1160.0,2.75,,
37086,cabbb849-fdb4-49c5-ac76-f9e4ccd77172,231205,Southfield HS For Arts & Tech,MI,Southfield,,,,-0.7954684448559394,-1.0681794826964128,,,,-1.1491306392535054,0.5301145413103847,0.05273632298817261,,-0.758575616791483,1.0,Below Average,1.0,Below Average,,,,-0.14066487883124912,-0.6179107379602339,False,5,0.7000000000000001,"ap_opportunity,ap_performance,test_performance,test_participation,college_placement",designed_v5,jenks_natural_breaks_k5,-0.758575616791483,False,0.3671363108505265,,,63.0,,,1070.0,1.6,,
37087,2cdd7fd1-e39a-f523-7c71-16f51e7acd44,233489,Southfield Regional Acdmc Cmps,MI,Southfield,,,,,,,,,,-0.19980912370966913,,,,,,,,,,,,,False,1,0.05,test_participation,designed_v5,jenks_natural_breaks_k5,-0.19980912370966913,True,,,,,,,,,,
37088,d4e381a9-b7f6-4bae-ab72-28c3d6b37042,232303,Southfield-Lathrup Sr HS,MI,Lathrup Village,,,,-0.1958289701240931,,,,,,,1.4367998581782437,,0.4572225611968417,4.0,Very Demanding,5.0,Most Demanding,,,,,,False,2,0.25,"ap_opportunity,college_placement",designed_v5,jenks_natural_breaks_k5,0.4572225611968417,False,,,,94.5,,,,,,
37089,34432d96-01b1-4e35-b302-e27821610305,110298,Southgate Christian School,GA,Augusta,private,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,,designed_v5,jenks_natural_breaks_k5,,False,,,,,,,,,,
