total_population,fips_state,fips_distid,district_name,state_abbr,child_poverty_estimate,child_population_5_17,leaid,pct_child_poverty
12324,5,49,De Queen School District,AR,518,2565,0500049,20.19
7541,5,1,DeWitt School District,AR,244,1210,0500001,20.17
3925,5,4980,Decatur School District,AR,90,735,0504980,12.24
2070,5,72,Deer/Mount Judea School District,AR,62,285,0500072,21.75
3152,5,5170,Dermott School District,AR,163,450,0505170,36.22
3459,5,5190,Des Arc Public Schools,AR,109,576,0505190,18.92
2476,5,5340,Dierks School District,AR,76,411,0505340,18.49
8217,5,5430,Dover School District,AR,282,1453,0505430,19.41
6022,5,5470,Drew Central School District,AR,151,913,0505470,16.54
10102,5,5500,Dumas School District,AR,331,1134,0505500,29.19
2313,5,5550,Earle School District,AR,194,454,0505550,42.73
3969,5,5580,East End School District,AR,130,675,0505580,19.26
3095,5,48,East Poinsett County School District,AR,133,560,0500048,23.75
23634,5,5680,El Dorado School District,AR,934,4194,0505680,22.27
6097,5,5760,Elkins School District,AR,143,1147,0505760,12.47
5157,5,68,Emerson-Taylor-Bradley School District,AR,239,826,0500068,28.93
3811,5,5850,England School District,AR,120,603,0505850,19.9
8747,5,5970,Eureka Springs School District,AR,204,807,0505970,25.28
14144,5,6090,Farmington School District,AR,231,2652,0506090,8.71
108373,5,6120,Fayetteville School District,AR,1722,13854,0506120,12.43
7740,5,6150,Flippin School District,AR,210,1041,0506150,20.17
4327,5,6210,Fordyce School District,AR,192,714,0506210,26.89
2510,5,6240,Foreman School District,AR,93,422,0506240,22.04
18506,5,6270,Forrest City School District,AR,1091,2734,0506270,39.9
92878,5,6330,Fort Smith Public Schools,AR,2873,15649,0506330,18.36
5538,5,6360,Fouke School District,AR,171,1122,0506360,15.24
16594,5,6420,Fountain Lake School District,AR,206,1381,0506420,14.92
4604,5,4110,Genoa Central School District,AR,149,904,0504110,16.48
9327,5,6540,Gentry Public Schools,AR,173,1730,0506540,10
5548,5,6630,Glen Rose School District,AR,115,961,0506630,11.97
4349,5,29,Gosnell School District,AR,183,872,0500029,20.99
18501,5,6840,Gravette School District,AR,247,2486,0506840,9.94
7797,5,6870,Green Forest School District,AR,304,1543,0506870,19.7
18785,5,6900,Greenbrier School District,AR,340,3873,0506900,8.78
20925,5,13080,Greene County Technical School District,AR,396,3624,0513080,10.93
6742,5,6930,Greenland Public Schools,AR,153,1098,0506930,13.93
21604,5,6990,Greenwood School District,AR,328,4014,0506990,8.17
3682,5,7110,Gurdon School District,AR,168,667,0507110,25.19
2618,5,7140,Guy-Perkins Schools,AR,59,471,0507140,12.53
5572,5,7170,Hackett Public Schools,AR,103,932,0507170,11.05
7681,5,42,Hamburg School District,AR,246,1294,0500042,19.01
3680,5,7230,Hampton School District,AR,79,478,0507230,16.53
4283,5,7290,Harmony Grove School District,AR,89,723,0507290,12.31
6220,5,7320,Harmony Grove School District,AR,83,1057,0507320,7.85
6518,5,7350,Harrisburg School District,AR,302,1163,0507350,25.97
21818,5,7380,Harrison School District,AR,540,3545,0507380,15.23
4337,5,7530,Hazen School District,AR,152,697,0507530,21.81
12052,5,7560,Heber Springs School District,AR,300,1723,0507560,17.41
3761,5,7620,Hector School District,AR,162,741,0507620,21.86
9850,5,7680,Helena-West Helena School District,AR,1242,1867,0507680,66.52
2242,5,7710,Hermitage School District,AR,76,426,0507710,17.84
13002,5,7770,Highland School District,AR,463,1807,0507770,25.62
3804,5,71,Hillcrest School District,AR,181,712,0500071,25.42
13286,5,7840,Hope School District,AR,576,2530,0507840,22.77
3537,5,7860,Horatio School District,AR,146,747,0507860,19.54
29758,5,7890,Hot Springs School District,AR,1011,3894,0507890,25.96
3503,5,7990,Hoxie School District,AR,203,592,0507990,34.29
16763,5,8130,Huntsville School District,AR,472,2905,0508130,16.25
5128,5,21,Izard Cty Consolidated Schools,AR,170,713,0500021,23.84
4136,5,13230,Jackson County School District,AR,173,752,0513230,23.01
39069,5,419,Jacksonville North Pulaski School District,AR,1556,6810,0500419,22.85
5217,5,8240,Jasper School District,AR,187,746,0508240,25.07
7330,5,7920,Jessieville School District,AR,129,780,0507920,16.54
39335,5,8280,Jonesboro Public Schools,AR,2246,7113,0508280,31.58
2923,5,8340,Junction City School District,AR,56,509,0508340,11
2454,5,8490,Kirby School District,AR,102,397,0508490,25.69
4354,5,65,Lafayette County School District,AR,164,644,0500065,25.47
27007,5,8610,Lake Hamilton School District,AR,785,4515,0508610,17.39
6744,5,8640,Lakeside School District,AR,353,1189,0508640,29.69
18753,5,8670,Lakeside School District,AR,316,2912,0508670,10.85
7220,5,8700,Lamar School District,AR,200,1249,0508700,16.01
5028,5,8730,Lavaca Public Schools,AR,92,895,0508730,10.28
7898,5,82,Lawrence County School District,AR,239,1225,0500082,19.51
3153,5,3420,Lead Hill School District,AR,101,450,0503420,22.44
8104,5,9360,Lee County School District,AR,488,1004,0509360,48.61
7256,5,8940,Lincoln School District,AR,227,1349,0508940,16.83
182053,5,9000,Little Rock School District,AR,6765,30207,0509000,22.4
9705,5,9060,Lonoke School District,AR,278,1589,0509060,17.5
2527,5,9150,Magazine Schools,AR,87,440,0509150,19.77
3109,5,9190,Magnet Cove School District,AR,56,512,0509190,10.94
18855,5,44,Magnolia School District,AR,663,2841,0500044,23.34
18059,5,9240,Malvern Special School District,AR,476,2265,0509240,21.02
3066,5,9270,Mammoth Spring Schools,AR,93,498,0509270,18.67
4763,5,46,Manila School District,AR,76,886,0500046,8.58
5409,5,9330,Mansfield School District,AR,146,992,0509330,14.72
21022,5,9390,Marion School District,AR,865,4289,0509390,20.17
3195,5,9420,Marked Tree School District,AR,202,524,0509420,38.55
3960,5,16,Marmaduke School District,AR,93,714,0500016,13.03
2667,5,9510,Marvell School District,AR,168,448,0509510,37.5
6387,5,9540,Mayflower School District,AR,136,941,0509540,14.45
3398,5,9570,Maynard School District,AR,162,677,0509570,23.93
2828,5,9600,McCrory School District,AR,124,490,0509600,25.31
5585,5,9630,McGehee School District,AR,312,1075,0509630,29.02
5369,5,9720,Melbourne School District,AR,159,771,0509720,20.62
12729,5,9750,Mena Public Schools,AR,477,2049,0509750,23.28
3962,5,20,Midland School District,AR,118,727,0500020,16.23
3223,5,9780,Mineral Springs School District,AR,112,562,0509780,19.93
10172,5,9840,Monticello School District,AR,433,1693,0509840,25.58
3840,5,9990,Mount Ida School District,AR,98,465,0509990,21.08
3365,5,10080,Mount Vernon-Enola School District,AR,88,617,0510080,14.26
34510,5,43,Mountain Home School District,AR,789,4404,0500043,17.92
4159,5,10170,Mountain Pine School District,AR,142,697,0510170,20.37
12569,5,10200,Mountain View School District,AR,462,1821,0510200,25.37
4322,5,10260,Mountainburg Schools,AR,129,682,0510260,18.91
3922,5,10290,Mulberry School District,AR,98,622,0510290,15.76
8873,5,10380,Nashville School District,AR,400,1681,0510380,23.8
