leaid,district_name,fips_state,total_revenue,federal_revenue,state_local_revenue,state_abbr,saipe_district_name,total_pop,child_poverty_est,child_pop,pct_child_poverty
4829400,MATHIS IND SCH DIST 904,48,30342,7007,23335,TX,Spur Independent School District,1443,36,179,20.11
4829400,MATHIS IND SCH DIST 904,48,30342,7007,23335,TX,Mathis Independent School District,8732,467,1533,30.46
4837080,RICHLAND SPRGS IND SCH DST 902,48,3287,375,2912,TX,Rocksprings Independent School District,1163,62,189,32.80
4837080,RICHLAND SPRGS IND SCH DST 902,48,3287,375,2912,TX,Richland Springs Independent School District,733,13,105,12.38
4831760,MT PLEASANT IND SCH DIST 902,48,78847,17832,61015,TX,Rocksprings Independent School District,1163,62,189,32.80
4831760,MT PLEASANT IND SCH DIST 902,48,78847,17832,61015,TX,Mount Pleasant Independent School District,23878,1019,4828,21.11
4838700,SAN ANGELO IND SCH DIST 903,48,172621,30375,142246,TX,Rocksprings Independent School District,1163,62,189,32.80
4838700,SAN ANGELO IND SCH DIST 903,48,172621,30375,142246,TX,San Angelo Independent School District,101232,2596,16777,15.47
4810140,BIG SANDY IND SCH DIST 901,48,10815,962,9853,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4810140,BIG SANDY IND SCH DIST 901,48,10815,962,9853,TX,Hays Consolidated Independent School District,140758,2072,26867,7.71
4810140,BIG SANDY IND SCH DIST 901,48,10815,962,9853,TX,Big Sandy Independent School District,4298,160,728,21.98
4838430,SABINAL IND SCH DIST 902,48,8929,1422,7507,TX,Rocksprings Independent School District,1163,62,189,32.80
4838430,SABINAL IND SCH DIST 902,48,8929,1422,7507,TX,Sabinal Independent School District,2130,87,355,24.51
4843720,UVALDE CONS IND SCH DIST 903,48,55884,12253,43631,TX,Uvalde Consolidated Independent School District,22070,1287,4232,30.41
4825560,KERMIT IND SCH DIST 901,48,26771,1943,24828,TX,Spur Independent School District,1443,36,179,20.11
4825560,KERMIT IND SCH DIST 901,48,26771,1943,24828,TX,Kermit Independent School District,6461,231,1333,17.33
