destinationtable,rcdts,level,school_name,district,city,county,district_type,school_type,grades_served,percent_of_kindergartners_rated_on_14_required_measures,percent_of_kindergartners_demonstrating_readiness_in_zero_devel,percent_of_kindergartners_demonstrating_readiness_in_one_develo,percent_of_kindergartners_demonstrating_readiness_in_two_develo,percent_of_kindergartners_demonstrating_readiness_in_all_three_,percent_of_kindergartners_demonstrating_readiness_in_all_thre_1,percent_of_kindergartners_demonstrating_readiness_in_all_thre_2,percent_of_kindergartners_demonstrating_readiness_in_all_thre_3,percent_of_kindergartners_demonstrating_readiness_in_all_thre_4,percent_of_kindergartners_demonstrating_readiness_in_all_thre_5,percent_of_kindergartners_demonstrating_readiness_in_all_thre_6,percent_of_kindergartners_demonstrating_readiness_in_all_thre_7,percent_of_kindergartners_demonstrating_readiness_in_all_thre_8,percent_of_kindergartners_demonstrating_readiness_in_all_thre_9,percent_of_kindergartners_demonstrating_readiness_in_all_thr_10,percent_of_kindergartners_demonstrating_readiness_in_all_thr_11,percent_of_kindergartners_demonstrating_readiness_in_all_thr_12,percent_of_kindergartners_demonstrating_readiness_in_all_thr_13,percent_of_kindergartners_demonstrating_readiness_in_all_thr_14,percent_of_kindergartners_demonstrating_readiness_in_all_thr_15,percent_of_kindergartners_demonstrating_readiness_in_all_thr_16,percent_of_kindergartners_demonstrating_readiness_in_social_and,percent_of_kindergartners_demonstrating_readiness_in_language_a,percent_of_kindergartners_demonstrating_readiness_in_math
KIDS1,30-073-0050-02-2001,School,Tamaroa Elem School,Tamaroa School Dist 5,Tamaroa,Perry,Elementary District,Elementary School,K - 8,83.3,,,,,,*,,,,,,,,,,,,,*,*,,,
KIDS1,03-011-0030-26-2001,School,Memorial Elem School,Taylorville CUSD 3,Taylorville,Christian,Unit District,Elementary School,3 - 4,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,03-011-0030-26-2003,School,North Elem School,Taylorville CUSD 3,Taylorville,Christian,Unit District,Elementary School,PK - 2,95.7,50.4,26.7,,18.5,19.2,*,*,,,,*,,22.1,14.9,,*,*,*,13.2,*,48.1,23.7,19.3
KIDS1,03-011-0030-26-1005,School,Taylorville Jr High School,Taylorville CUSD 3,Taylorville,Christian,Unit District,Middle/Junior High School,5 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,03-011-0030-26-0006,School,Taylorville Sr High School,Taylorville CUSD 3,Taylorville,Christian,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,03-025-0500-26-2002,School,Teutopolis Grade School,Teutopolis CUSD 50,Teutopolis,Effingham,Unit District,Elementary School,PK - 6,100,37,15.2,14.1,33.7,32.6,,,,,,*,,32.1,35.9,,*,*,,*,,62,47.8,34.8
KIDS1,03-025-0500-26-0001,School,Teutopolis High School,Teutopolis CUSD 50,Teutopolis,Effingham,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,03-025-0500-26-1001,School,Teutopolis Junior High School,Teutopolis CUSD 50,Teutopolis,Effingham,Unit District,Middle/Junior High School,7 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,09-010-1300-04-2001,School,Thomasboro Grade School,Thomasboro CCSD 130,Thomasboro,Champaign,Elementary District,Elementary School,PK - 8,,,,,,,,,,,,,,,,,,,,*,,,,
KIDS1,21-028-1740-26-2001,School,Thompsonville Grade  School,Thompsonville CUSD 174,Thompsonville,Franklin,Unit District,Elementary School,PK - 8,100,,,,,,,,,,,,,,,,*,*,,*,*,93.8,75,
KIDS1,21-028-1740-26-0001,School,Thompsonville High School,Thompsonville CUSD 174,Thompsonville,Franklin,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,07-016-2150-17-0001,School,Thornton Fractnl No High School,Thornton Fractional Twp HSD 215,Calumet City,Cook,High School District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,07-016-2150-17-0002,School,Thornton Fractnl So High School,Thornton Fractional Twp HSD 215,Lansing,Cook,High School District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,07-016-1540-02-2002,School,Wolcott School,Thornton SD 154,Thornton,Cook,Elementary District,Elementary School,PK - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,07-016-2050-17-0002,School,Thornridge High School,Thornton Twp HSD 205,Dolton,Cook,High School District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,07-016-2050-17-0001,School,Thornton Township High School,Thornton Twp HSD 205,Harvey,Cook,High School District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,07-016-2050-17-0003,School,Thornwood High School,Thornton Twp HSD 205,South Holland,Cook,High School District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,09-010-0070-26-2007,School,Unity East,Tolono CUSD 7,Philo,Champaign,Unit District,Elementary School,PK - 5,100,,,,72,73.9,,*,*,,,,,76.9,,,*,*,*,*,,88,80,76
KIDS1,09-010-0070-26-0007,School,Unity High School,Tolono CUSD 7,Tolono,Champaign,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,09-010-0070-26-1005,School,Unity Jr High School,Tolono CUSD 7,Tolono,Champaign,Unit District,Middle/Junior High School,6 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,09-010-0070-26-2006,School,Unity West,Tolono CUSD 7,Tolono,Champaign,Unit District,Elementary School,K - 5,100,33.8,18.3,15.5,32.4,31.6,*,*,,,,*,,39.4,26.3,,*,*,,*,,62,49.3,35.2
KIDS1,35-050-0790-04-2001,School,Tonica Grade School,Tonica CCSD 79,Tonica,La Salle,Elementary District,Elementary School,PK - 8,,,,,,,,,,,,,,,,,,,,*,,,,
KIDS1,05-016-2110-17-0006,School,Hoffman Estates High School,Township HSD 211,Hoffman Estates,Cook,High School District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,05-016-2110-17-0001,School,J B Conant High School,Township HSD 211,Hoffman Estates,Cook,High School District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,05-016-2110-17-0003,School,Palatine High School,Township HSD 211,Palatine,Cook,High School District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,05-016-2110-17-0004,School,Schaumburg High School,Township HSD 211,Schaumburg,Cook,High School District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,05-016-2110-17-0002,School,Wm Fremd High School,Township HSD 211,Palatine,Cook,High School District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,05-016-2140-17-0008,School,Buffalo Grove High School,Township HSD 214,Buffalo Grove,Cook,High School District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,05-016-2140-17-0002,School,Elk Grove High School,Township HSD 214,Elk Grove Village,Cook,High School District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,05-016-2140-17-0004,School,John Hersey High School,Township HSD 214,Arlington Heights,Cook,High School District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,05-016-2140-17-0005,School,Prospect High School,Township HSD 214,Mt Prospect,Cook,High School District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
