ceeb,school_name,state,latitude,longitude,us_region,is_school_match,is_public_hs,is_private_hs,sector,has_nu_analytics,has_nu_data,crime_risk_need,crime_risk_adv,educational_attainment_need,educational_attainment_adv,family_stability_need,family_stability_adv,housing_stability_need,housing_stability_adv,median_family_income_need,median_family_income_adv,socio_need_index,ap_offered,ap_tests_taken,ap_participation,ap_intensity_src,ap_score_nu,ap_pct_students_nu,ap_tests_offered,ap_take_rate,dual_enrollment_offered,dual_enrollment_rate,testtaker_rate,sat_participation_nu,sat_score_nu,act_composite_il,grad_rate_2021,frl_rate,enrollment_9_12,grade_9,grade_10,grade_11,grade_12,child_poverty_saipe,per_pupil_state_local,leaid,district_total_revenue,per_resident_child_funding_total,per_resident_child_funding_state_local,funding_source,percent_going_to_college_mid,percent_going_to_4yr_college_mid,percent_federal_lunch_aid_mid,percent_first_gen_college_mid,number_of_ap_classes_offered_mid,size_of_senior_class_mid,ap_capstone,setting,ib_flag_candidate,ib_programme_count,meets_min_size,crdc_ib_enrollment,ib_flag_v2,ib_flag_v2_source,rigor_score,rigor_tier_num,rigor_tier_label,rigor_n_components_used,rigor_components_available,rigor_weighting_scheme,rigor_tier_method,rigor_tier_num_quantile,rigor_tier_label_quantile,funding_tier,sat_percentile_by_us_region,sat_percentile_by_funding_tier,sat_percentile_by_rigor_tier_label
440247,Pantego Christian Academy,,32.7224197387695,-97.1430282592773,US - South,False,False,True,private,True,True,55.0,45.0,27.0,73.0,24.0,76.0,54.0,46.0,23.0,77.0,36.6,1,3.05,,nu_tests_taken,2.42,63.0,20.0,0.1525,0,,,62.0,1150.0,,,,,,,,,,,,,,,none,95.0,,,,,50.0,0,Large city,0,,True,,,,-0.163313581248077,1.0,Average,4,ap_opportunity+ap_performance+test_participation+test_performance,designed,natural,2.0,Demanding,,62.18238283455675,,81.0012836970475
440248,Robert Muller High School,,32.6889,-97.1905,US - South,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,,0,Medium city,0,,True,,,,,,,0,none,designed,natural,,,,,,
440249,ALTERNATIVE H S,TX,32.6580848693848,-97.1076126098633,US - South,True,True,False,public,False,True,,,,,,,,,,,,1,,0.0251572327044025,crdc_participation,,,,,0,,0.0943396226415094,,,,,49.056603773584904,159.0,68.0,41.0,34.0,16.0,17.1,,4833120.0,1520054000.0,12156.25024991403,10467.423206416992,census_f33_per_resident_child_proxy,,,,,,300.5,0,Large city,0,,True,,0.0,crdc_2122,-0.942647206833664,0.0,Below Average,2,crdc_coursework+test_participation,designed,natural,0.0,Below Average,Q1 (lowest funding),,,
440250,Rose Muller School,,32.7199,-97.1442,US - South,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,50.0,0,Suburban community,0,,True,,,,,,,0,none,designed,natural,,,,,,
440252,St Pauls Preparatory Academy,,32.6318969726563,-97.178352355957,US - South,False,False,True,private,True,True,38.0,62.0,27.0,73.0,17.0,83.0,34.0,66.0,19.0,81.0,27.0,0,,,none,,,,,0,,,82.0,1090.0,,,,,,,,,,,,,,,none,,,,,,,0,Large city,0,,True,,,,-0.18687032658367,1.0,Average,2,test_participation+test_performance,designed,natural,2.0,Demanding,,24.717673630717112,,24.36456996148909
440253,Highland Avenue Christian Sch,,27.9095,-97.1591,US - South,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,50.0,0,Small city/town,0,,True,,,,,,,0,none,designed,natural,,,,,,
440256,ARGYLE H S,TX,33.077205657959,-97.1989059448242,US - South,True,True,False,public,True,True,52.0,48.0,13.0,87.0,18.0,82.0,19.0,81.0,6.0,94.0,21.6,1,3.27,0.278588807785888,nu_tests_taken,3.24,39.0,28.0,0.1167857142857142,1,0.1891727493917274,0.1995133819951338,57.0,1140.0,,99.5,,1644.0,459.0,407.0,410.0,368.0,6.4,,4808670.0,96016000.0,21028.471309680244,20758.650897941305,census_f33_per_resident_child_proxy,,74.5,5.0,,17.5,300.5,0,Suburban community,0,,True,,0.0,crdc_2122,0.1771451566782446,2.0,Demanding,5,ap_opportunity+ap_performance+crdc_coursework+test_participation+test_performance,designed,natural,3.0,Very Demanding,Q4 (highest funding),55.081874647092036,43.98328690807799,33.32559758644697
440257,St Albans Episcopal School,,32.7199,-97.1442,US - South,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,,True,,,,,,,0,none,designed,natural,,,,,,
440259,SEGUIN H S,TX,,,,False,True,False,public,False,False,,,,,,,,,,,,1,,0.3384813384813385,crdc_participation,,,,,1,0.0514800514800514,0.415057915057915,,,,95.0,71.62162162162163,1554.0,392.0,426.0,367.0,369.0,14.9,,4808700.0,858685000.0,12950.92228104309,11379.394597529525,census_f33_per_resident_child_proxy,,,,,,,0,11-City: Large,0,,True,,0.0,crdc_2122,0.7021606507694302,3.0,Very Demanding,2,crdc_coursework+test_participation,designed,natural,4.0,Most Demanding,Q1 (lowest funding),,,
440260,ASPERMONT H S,TX,33.1380462646484,-100.228874206543,US - South,True,True,False,public,False,True,,,,,,,,,,,,0,,,none,,,,,1,0.2372881355932203,0.576271186440678,,,,90.0,44.21052631578947,59.0,18.0,11.0,17.0,13.0,22.3,,4800006.0,4060000.0,20402.010050251258,19090.45226130653,census_f33_per_resident_child_proxy,,,,,,50.0,0,Rural area,0,,True,,0.0,crdc_2122,1.3094033188102625,3.0,Very Demanding,2,crdc_coursework+test_participation,designed,natural,4.0,Most Demanding,Q4 (highest funding),,,
