ceeb,school_name,state,sector,rigor_score_default,rigor_tier_default,rigor_score_scenarioA,rigor_tier_scenarioA,ib_intensity_v2
054467,Windsor Oaks Academy,CA,public,0.6148757547145323,Very Demanding,0.3422550965442851,Demanding,0.0
054468,Magnolia Science Academy 4,CA,public,0.5075898290130182,Demanding,0.12354717713738647,Demanding,0.0
054469,North Kern Christian School,,private,,,,,
054478,Calvary Christian School,,private,,,,,
054480,Clovis Christian Schl-The Rock,,private,,,,,
054484,Alpha And Omega Academy,,private,,,,,
054485,Berean Bible Baptist Academy,,private,,,,,
054487,Citrus Valley Christian Acdmy,,private,,,,,
054489,Mission Academy,CA,public,-0.1370535147210999,Average,0.008416165151504774,Demanding,0.0
054490,Northwest Christian School,,private,,,,,
054491,Vineyard Christian School,,private,,,,,
054494,Waldorf School Of San Diego HS,,private,,,,,
054497,San Francisco HS Of The Arts,,private,1.4054163132514443,Very Demanding,1.4054163132514443,Very Demanding,
054499,Guiding Hands School,,private,,,,,
054508,Star Academy,,private,,,,,
054511,Fusion Academy Huntington Bch,,private,,,,,
054514,Ventura Christian Academy,,private,,,,,
054521,California Preparatory Academy,CA,public,-0.5308666846590837,Average,-0.6775846979998928,Below Average,0.0
054525,Rancho Dominguez Preparatory,CA,public,-0.047013086736768774,Demanding,-0.04907532486273062,Average,0.0
