ncessch,school_name,city,state,zip,school_level,total_students,frl_students,pupil_teacher_ratio,rcdts,summative_designation,title_i_status,isbe_enrollment,district_total_revenue,district_federal_revenue,state_child_poverty_est,state_child_pop
1701118,Sutherland Elem School,Chicago,IL ,60643,Elementary,641,220,13.22,15-016-2990-25-2476,Commendable,Title 1 Ineligible Due to Ranking,637,,,267982,2037081
1703576,Swan Hillman Elem School,Rockford,IL ,61109,Elementary,581,433,17.24,04-101-2050-25-2037,Targeted,Title 1 Schoolwide,580,,,267982,2037081
1703056,Sward Elem School,Oak Lawn,IL ,60453,Elementary,457,202,14.55,07-016-1230-02-2010,Commendable,Title 1 Ineligible Due to Ranking,451,,,267982,2037081
1701119,Swift Elem Specialty School,Chicago,IL ,60660,Elementary,533,462,11.34,15-016-2990-25-2477,Commendable,Title 1 Schoolwide,530,,,267982,2037081
1703922,Sycamore High School,Sycamore,IL ,60178,High,1161,288,15.55,16-019-4270-26-0001,Commendable,Title 1 Ineligible Due to Ranking,1128,,,267982,2037081
1703923,Sycamore Middle School,Sycamore,IL ,60178,Middle,847,219,13.64,16-019-4270-26-1002,Commendable,Title 1 Targeted,833,,,267982,2037081
1700073,Sycamore Trails Elementary School,Bartlett,IL ,60103,Elementary,424,104,12.15,31-045-0460-22-2049,Commendable,Title 1 Ineligible Due to Ranking,613,,,267982,2037081
1702345,Taft Elementary School,Joliet,IL ,60435,Elementary,424,401,19.95,56-099-0860-05-2020,Commendable,Title 1 Schoolwide,322,,,267982,2037081
1703927,Taft Grade School,Lockport,IL ,60441,Elementary,272,126,12.09,56-099-0900-02-2001,Commendable,Title 1 Schoolwide,270,,,267982,2037081
1701153,Taft High School,Chicago,IL ,60631,High,4487,2272,16.32,15-016-2990-25-0043,Commendable,Title 1 Eligible but Not Served,4290,,,267982,2037081
1702358,Taft Primary School,Kankakee,IL ,60901,Elementary,316,288,15.8,32-046-1110-25-2010,Comprehensive,Title 1 Schoolwide,315,,,267982,2037081
1703783,Taft School,Harvey,IL ,60426,Elementary,308,308,12.32,07-016-1510-02-2006,Commendable,Title 1 Schoolwide,288,,,267982,2037081
1701349,Talala Elementary School,Park Forest,IL ,60466,Elementary,305,260,15.84,56-099-201U-26-2007,Comprehensive,Title 1 Schoolwide,295,,,267982,2037081
1700964,Talcott Elem School,Chicago,IL ,60622,Elementary,487,347,13.72,15-016-2990-25-2478,Targeted,Title 1 Schoolwide,486,,,267982,2037081
1704726,Talman Elem School,Chicago,IL ,60632,Elementary,332,298,11.86,15-016-2990-25-2926,Commendable,Title 1 Schoolwide,332,,,267982,2037081
1703928,Tamaroa Elem School,Tamaroa,IL ,62888,Elementary,100,74,10.53,30-073-0050-02-2001,Commendable,Title 1 Schoolwide,96,,,267982,2037081
1701852,Tampico Elem School,Tampico,IL ,61283,Elementary,156,110,13,47-098-0030-26-2005,Commendable,Title 1 Schoolwide,149,,,267982,2037081
