leaid,district_name,fips_state,state_code,fiscal_year,total_revenue_000s,federal_revenue_000s,state_revenue_000s,local_revenue_000s,total_expenditure_000s,current_exp_elem_secondary_000s,instruction_expenditure_000s,support_services_expenditure_000s,capital_outlay_000s,total_salaries_000s,instruction_salaries_000s,total_benefits_000s
0620040,KNIGHTSEN ELEM SCH DIST,6,5,24,10300,718,4915,4667,8704,8465,4897,3132,184,596,4617,0
0626370,MT DIABLO UNIFIED SCHOOL DISTRICT,6,5,24,606678,58547,264670,283461,552138,487728,298155,172089,36909,29356,285569,0
0628080,OAKLEY UNION ELEMENTARY SCHOOL DISTRICT,6,5,24,83469,5319,44005,34145,88100,80977,45861,32396,4139,5098,44803,0
0630600,PITTSBURG UNIFIED SCHOOL DISTRICT,6,5,24,268506,24976,171298,72232,247959,208622,122706,77774,18852,10709,116827,0
0632550,WEST CONTRA COSTA UNIFIED SCHOOL DISTRICT,6,5,24,724786,62785,348986,313015,663817,552227,316663,212253,57907,25575,303457,0
0641250,WALNUT CREEK ELEM SCHOOL DISTRICT,6,5,24,63176,1797,13028,48351,72388,54519,32299,19661,12903,3547,30790,0
0612070,EL DORADO UN HIGH SCHOOL DIST,6,5,24,121892,5446,54905,61541,114250,103982,57484,43555,5247,6541,54912,0
0618240,INDIAN DIGGINGS ELEM SCH,6,5,24,483,26,333,124,521,445,335,110,75,8,323,0
0621180,LATROBE ELEM SCH DIST,6,5,24,4084,66,437,3581,3371,3247,1763,1484,94,168,1669,0
0630780,PLACERVILLE UNION ELEM SCH DT,6,5,24,23156,2418,13495,7243,21092,19171,11308,6932,1422,1204,10808,0
0631290,POLLOCK PINES ELEM SCH DIST,6,5,24,10571,820,5840,3911,11098,10068,6162,3352,551,575,5932,0
0602370,ALVINA ELEM SCH DIST,6,5,24,3525,257,2761,507,3791,3593,2055,1530,197,176,1999,0
0606540,BURREL UNION ELEM SCH DIST,6,5,24,2658,250,1683,725,2612,2531,1280,1041,66,101,1222,0
0608850,CLAY JOINT ELEM SCH DIST,6,5,24,3685,224,2783,678,4247,3516,2166,1254,725,240,2067,0
0619490,KERMAN UNIF SCH DIST,6,5,24,118741,12300,87199,19242,142267,92344,54440,33828,46236,5304,52276,0
0619830,KINGSBURG JT UN HIGH SCHOOL DIST,6,5,24,24408,1437,14469,8502,26295,20755,13330,6962,3565,1227,12743,0
0621150,LATON JT UNIF SCHOOL DISTRICT,6,5,24,16198,2671,10175,3352,18079,15409,8886,5851,1863,597,8614,0
0625290,MONROE ELEM SCH DIST,6,5,24,3949,811,2684,454,4755,4217,2106,1884,449,152,2044,0
0630390,PINE RIDGE ELEM SCH DIST,6,5,24,3103,65,533,2505,3205,2993,1572,1350,0,68,1450,0
0619700,KINGS CANYON UNIFIED SCHOOL DIST,6,5,24,260033,39137,178940,41956,253746,200630,112013,79224,44474,9658,107686,0
0642210,WESTSIDE ELEM SCH DIST,6,5,24,7375,1053,3400,2922,6403,5309,2486,2498,863,122,2413,0
0600040,RIVERDALE JOINT UNIFIED SCHOOL DISTRICT,6,5,24,36660,4047,23386,9227,32618,29772,17974,10384,2097,1456,17257,0
0601339,HAMILTON UNIFIED SCHOOL DISTRICT,6,5,24,15733,1152,11723,2858,14917,12511,7454,4307,797,715,7243,0
0600045,ORLAND JOINT UNIFIED SCHOOL DISTRICT,6,5,24,48421,3792,33646,10983,44921,37965,24441,11681,4861,2242,23734,0
0638070,STONEY CREEK JT UNIF SCH DIST,6,5,24,3598,755,1847,996,3936,2778,1316,1361,1053,71,1278,0
0605400,BLUE LAKE ELEM SCH DIST,6,5,24,3732,475,1703,1554,3613,3440,2176,993,27,160,2109,0
0606000,BRIDGEVILLE ELEM SCH DIST,6,5,24,1709,445,905,359,1506,1189,691,422,189,37,678,0
0601420,FORTUNA ELEMENTARY SCHOOL DISTRICT,6,5,24,26728,3223,16981,6524,28422,20484,12405,6989,6093,1048,11908,0
0614520,FRESHWATER ELEM SCH DIST,6,5,24,5816,282,3883,1651,5817,5370,3333,1745,95,313,3217,0
0618120,HYDESVILLE ELEM SCH DIST,6,5,24,3640,289,2393,958,3768,3118,1831,1082,426,224,1755,0
0619950,KLAMATH TRINITY JT UNIFIED JT SCH DIST,6,5,24,31742,10627,16461,4654,26797,23233,10300,11869,2823,939,9925,0
0619980,KNEELAND ELEM SCH DIST,6,5,24,794,29,613,152,718,629,307,320,51,28,300,0
