ibo_name,ibo_id,programmes,priv_name,city,state,pss_id,score,decision
Linden High School,1313,DP,HOLDEN HIGH SCHOOL,ORINDA,CA,00094973,88.9,reject
Temple High School,670,DP,TELSHE HIGH SCHOOL,WICKLIFFE,OH,01063831,88.9,reject
Hilton High School,1392,"MYP, DP",ILAN HIGH SCHOOL,OCEAN,NJ,A9702240,88.2,reject
West High School,345,"DP, CP",WESLEY HIGH SCHOOL,PITTSBURGH,PA,01196329,88.2,reject
West High School,4845,"MYP, DP, CP",WESLEY HIGH SCHOOL,PITTSBURGH,PA,01196329,88.2,reject
West High School,49838,DP,WESLEY HIGH SCHOOL,PITTSBURGH,PA,01196329,88.2,reject
L.C. Anderson High School,628,DP,PAUL ANDERSON HIGH SCHOOL,VIDALIA,GA,A9303122,88.0,reject
Long Beach High School,4872,DP,TORAH HIGH SCHOOL LONG BEACH,LONG BEACH,NY,A1502617,88.0,reject
Hampton High School,1278,DP,ASSUMPTION HIGH SCHOOL,LOUISVILLE,KY,00514355,87.8,reject
Parkdale High School,848,DP,PARACLETE HIGH SCHOOL,LANCASTER,CA,00070624,87.8,reject
Renaissance High School,3958,"DP, CP",RENAISSANCE SCHOOL,CHARLOTTESVILLE,VA,A0992066,87.8,reject
Renaissance High School,52513,DP,RENAISSANCE SCHOOL,CHARLOTTESVILLE,VA,A0992066,87.8,reject
Westminster High School,1431,CP,WESTMINSTER SCHOOL,SIMSBURY,CT,00233363,87.8,reject
Capistrano Valley High School,2304,DP,VALLEY CHRISTIAN HIGH SCHOOL,CERRITOS,CA,A2100655,87.7,reject
Largo High School,49031,DP,SAR HIGH SCHOOL,BRONX,NY,A0502542,87.5,reject
Salem High School,44015,DP,SAR HIGH SCHOOL,BRONX,NY,A0502542,87.5,reject
Stanton College Preparatory School,251,DP,THE COLLEGE PREPARATORY SCHOOL,OAKLAND,CA,00083597,87.5,reject
Vista High School,225,DP,TAG HIGH SCHOOL,FAR ROCKAWAY,NY,A9903264,87.5,reject
Leander High School,1086,DP,LANDMARK HIGH SCHOOL,PRIDES CROSSING,MA,A9103061,87.2,reject
Skyline High School,1064,"DP, CP",URSULINE HIGH SCHOOL,YOUNGSTOWN,OH,01062408,87.2,reject
Skyline High School,2140,DP,URSULINE HIGH SCHOOL,YOUNGSTOWN,OH,01062408,87.2,reject
Yosemite High School,648,DP,SERVITE HIGH SCHOOL,ANAHEIM,CA,01604147,87.2,reject
Mercy High School,51397,"MYP, DP",MERCY HIGH SCHOOL,MIDDLETOWN,CT,00232202,100.0,review
Meridian High School,189,"MYP, DP, CP",MERIDIAN HIGH SCHOOL,MARGATE,FL,A1990232,100.0,review
Notre Dame Academy,3460,"PYP, MYP, DP",NOTRE DAME ACADEMY,PARK HILLS,KY,00515734,100.0,review
Notre Dame Academy,4884,DP,NOTRE DAME ACADEMY,PARK HILLS,KY,00515734,100.0,review
Notre Dame High School,60807,DP,NOTRE DAME HIGH SCHOOL,SALINAS,CA,00074276,100.0,review
Trinity High School,1280,DP,TRINITY HIGH SCHOOL,CHICAGO,IL,00342146,100.0,review
St. Andrew's School,3348,DP,ST ANDREW'S SCHOOL,MIDDLETOWN,DE,00249737,97.3,review
St. Paul's School,2288,DP,ST PAULS SCHOOL,CONCORD,NH,00851903,93.8,review
Kent-Meridian High School,1321,DP,MERIDIAN HIGH SCHOOL,MARGATE,FL,A1990232,88.9,review
