school_id,school_name,address,city,state,zip,county,sector,charter,total_enrollment,enrollment_9_12,grad_rate_2021,crdc_ap_courses,ib_flag_v2,crdc_fte_counselors,county_median_hh_income,county_pct_child_poverty_saipe,nces_id_12,ceeb,rigor_tier_v4,audit_note
0403001,ThrivePoint High School at Grovers,4744 W GROVERS AVE,GLENDALE,AZ,85308,Maricopa County,public,1-Yes,58,58,,,0.0,0,89300,12.4,040031103001,,,
0403841,Paul Revere Academy,1601 W MAIN ST,MESA,AZ,85201,Maricopa County,public,1-Yes,58,58,,,,,89300,12.4,040974303841,,,
00094587,PUC PREPARATORY SCHOOL,1 ANGWIN AVE MCKIBBIN HALL,ANGWIN,CA,94508,NAPA,private,,57,57,,,0.0,,111471,7.5,,,,
4702625,Virtual Academy of Maury County,1101 Bridge ST,Columbia,TN,38401,Maury County,public,2-No,57,46,69.5,,0.0,0,76130,10.9,470276002625,,,
0403831,Pima County JTED - Bridges Evening Program,3300 S PARK AVE,TUCSON,AZ,85713,Pima County,public,2-No,57,57,,,,,70315,16.7,040075203831,,,
2702947,Jennings Community School,2455 UNIVERSITY AVE WEST,SAINT PAUL,MN,55114,Ramsey County,public,1-Yes,57,50,49.5,,0.0,0.5,81568,12.9,270015202947,,,
0401770,Shonto Preparatory Technology High School,East Highway 160/98,Shonto,AZ,86054,Navajo County,public,1-Yes,57,57,69.5,,0.0,0,54606,31.4,040015401770,030448,Below Average,
3000323,Garfield Co Dist HS,324 Marguerite St,Jordan,MT,59337,Garfield County,public,†,57,57,90,,0.0,1,69583,22.2,301188000323,270515,Demanding,
00259905,MESIFTA OF GREATER MIAMI,4000 ALTON RD,MIAMI BEACH,FL,33140,MIAMI-DADE,private,,57,57,,,0.0,,71753,16,,,,
4812824,GRADUATION PREP ACADEMY NAVARRO,1201 PAYTON GIN RD,AUSTIN,TX,78758,Travis County,public,2-No,57,57,24.5,,0.0,0,99611,13,480894012824,446103,Below Average,
1203853,THE ACADEMY AT YOUTH CARE LANE,4121 YOUTH CARE LN,SEBRING,FL,33870,Highlands County,public,2-No,57,32,50,1,0.0,0,54897,20.9,120084003853,,,
4807116,THE BRIDGES ACAD ALTER,5800 COLLEYVILLE BLVD,COLLEYVILLE,TX,76034,Tarrant County,public,2-No,57,57,72,,0.0,1,84207,14.9,482166007116,442964,Average,
2601594,ACES Academy,3303 S THIRD AVE,ALPENA,MI,49707,Alpena County,public,2-No,57,55,49.5,,0.0,0.22,53950,20.9,260273001594,230069,Demanding,
0614273,Sanhedrin Alternative,120 North Main St.,Willits,CA,95490,Mendocino County,public,2-No,57,57,77,,0.0,0,68092,15.8,064256014273,,,
1203057,PACE PROGRAM,1028 UNDERWOOD AVE,PENSACOLA,FL,32504,Escambia County,public,2-No,57,32,50,,,1,67500,22.3,120051003057,,,
4823153,TEXASWORKS - LAREDO,2201 CHIHUAHUA ST,LAREDO,TX,78043,Webb County,public,1-Yes,57,57,,,,,63058,28,489913623153,,,
5303511,Discovery High School-Achieve,2742 Harding,Longview,WA,98632,Cowlitz County,public,2-No,57,57,,,0.0,0,76531,12.6,530447003511,,,
4101689,Hawthorne Alternative High School,1700 NW 15th Dr,Pendleton,OR,97801,Umatilla County,public,2-No,56,56,30,,0.0,0,67728,13.1,410951001689,,,
A2300809,MECHINA OF SOUTH FLORIDA,4000 ALTON RD,MIAMI BEACH,FL,33140,MIAMI-DADE,private,,56,56,,,0.0,,71753,16,,,,
3501113,DZIT DIT LOOL SCHOOL OF EMPOWERMENT ACTION AND PERSEVERANCE,SHEPARD SPRINGS BOULEVARD AND MILL RD,NAVAJO,NM,87328,McKinley County,public,1-Yes,56,36,50,,0.0,0,47668,31.1,350017401113,,,
0501685,FOUNDERS CLASSICAL ACADEMIES OF ARKANSAS WEST LITTLE ROCK,1815 RAHLING RD,ROGERS,AR,72758,Pulaski County,public,1-Yes,56,41,90,7,0.0,1,62873,20.4,050040901685,,,
4813248,RICHEY ACADEMY,341 E RICHEY RD BLDG A,HOUSTON,TX,77073,Harris County,public,2-No,56,29,,,0.0,0,74983,22.6,484122013248,,,
2210412,Christian Acres Alternative School,200 Loop Road,Tallulah,LA,71282,Madison Parish,public,2-No,56,46,5,,,1,35456,49.3,220105010412,190148,Below Average,
4807163,STUBBLEFIELD LRN CTR,502 COLLEGE DR,LUFKIN,TX,75904,Angelina County,public,2-No,56,56,54.5,,0.0,0,60960,18,482855007163,,,
0402367,Robert L. Duffy High School,3816 N 27TH AVE,PHOENIX,AZ,85017,Maricopa County,public,1-Yes,56,56,10,,1.0,0,89300,12.4,040021902367,,,
4101848,Twin Rivers Charter School,2621 Augusta St,Eugene,OR,97403,Lane County,public,1-Yes,55,45,75,,0.0,0,71544,14.3,410474001848,,,
0610842,Richard A. Alonzo Community Day,5755 Fountain Ave.,Los Angeles,CA,90028,Los Angeles County,public,2-No,55,49,5,,0.0,0.61000001,90112,16.2,062271010842,051595,Below Average,
4029880,PROUD TO PARTNER LEADERSHIP HS,4149 Highline Boulevard,Oklahoma City,OK,73108,Oklahoma County,public,1-Yes,55,55,,,,,66679,20.1,403360829880,,,
4400551,Segue Institute Learning High,325 Cowden Street,Central Falls,RI,2863,Providence County,public,1-Yes,55,55,,,,,,,,,,
0402165,Crown Point High School,5850 W Northview Ave,Glendale,AZ,85301,Maricopa County,public,1-Yes,55,55,10,,0.0,0,89300,12.4,040033202165,030386,Average,
2607796,Horizon Alternative School,30 S NORWOOD AVE,HILLSDALE,MI,49242,Hillsdale County,public,2-No,55,55,75,,0.0,1,64242,16.7,261839007796,231596,Below Average,
4823202,LAMAR - PHOENIX ALTERNATIVE EDUCATION,121 DE ZAVALA DR,SAN MARCOS,TX,78666,Hays County,public,2-No,55,55,,,,,89097,7.5,483897023202,,,
4500238,Turbeville High,1578 Clarence Coker Hwy,Turbeville,SC,29162,Clarendon County,public,2-No,55,55,,,,1,52401,24.5,450000100238,,,
