guid,name,city,ceeb,ceeb_padded,suspected_counterpart_ceeb,custom_id
a915a1d9-ef05-4a6e-841e-ed10f203e6b5,Brookwood High School,Ontario,501670,501670,050167,0027179
c7469cb7-b288-4933-bffe-c2e930b4e98e,Brookwood School,Thomasville,112970,112970,011297,0006564
8ed27e91-e0b2-44e4-bc69-73ae96d5717f,Bruce High School,Bruce,500290,500290,050029,0027246
b99923a3-9adb-4315-990a-45601a171359,Bucksport High School,Bucksport,200200,200200,020020,0011539
840bb2df-41d4-40a6-b001-ab7b2c6816c2,Burlington High School,Burlington,510040,510040,051004,0027589
bc2d929f-0ccf-475c-ab8a-a2ca43476130,Butternut Senior High School,Butternut,500310,500310,050031,0027140
58a6271d-4e45-47cc-b4ae-c3919c099299,C R O E M,Mayaguez,543420,543420,054342,0021870
d8890619-0a02-4581-bf8c-1534b35d4d88,Cabo Rojo Christian Academy,Cabo Rojo,540950,540950,054095,0021802
c764a0c6-12e7-c993-3e28-d78747cd55db,Cadest,Kissimmee,100590,100590,010059,
64c45310-793a-4afc-9a4e-71cdd8bae20a,Cadott High School,Cadott,500320,500320,050032,0027206
f52c0153-5e18-4ad9-97bb-67bb46636920,Calais High School,Calais,200210,200210,020021,OID16182
3d6e9c3b-30e1-7256-bb25-192d13b9fde2,Calcampus High School,Rindge,300530,300530,030053,
3b38cef7-02ee-410c-9037-a284bf9f385e,Calhoun High School,Calhoun,110550,110550,011055,0006318
399255c2-ff34-4da2-9b64-30a99a4a0c7e,Campbell County High School,Gillette,510150,510150,051015,0027618
bcdb59b8-d559-4ce6-8192-8c99a5d9c064,Campbellsport High School,Campbellsport,500340,500340,050034,0026696
7a39deff-e64f-4906-80fd-78631f3a3fcf,Canaan Christian School,Canaan,200220,200220,020022,0011624
33f2b035-4f3b-47e4-938e-652efe3adfa0,Carlos Escobar Lopez,Loiza,543000,543000,054300,0021838
b5f61dca-a694-47ec-9050-d23a581d8005,Carmen Bozello de Huyke HS,Arroyo,540640,540640,054064,0021871
b7978401-d556-42e4-8430-99a12239aa0b,Carrabec High School,North Anson,200710,200710,020071,0011635
d148083c-704a-470f-9323-3bacd3d17bed,Carrabelle HS,Carrabelle,100220,100220,010022,0005064
