name,school_id,offers_pyp,offers_myp,offers_dp,offers_cp,programmes,offers_any_ib,languages,ibo_url
Benito Juarez Community Academy,50203,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/050203/
Benjamin A Banneker Academic High School,1318,f,f,t,f,DP,t,English,https://ibo.org/school/001318/
Benjamin E. Mays High School,60237,f,t,t,t,"MYP, DP, CP",t,English,https://ibo.org/school/060237/
Benjamin E. Mays International Magnet School,2428,t,f,f,f,PYP,t,English,https://ibo.org/school/002428/
Benjamin Franklin Elementary School,6091,t,f,f,f,PYP,t,English,https://ibo.org/school/006091/
Benjamin H Hardaway High School,1351,f,t,t,t,"MYP, DP, CP",t,English,https://ibo.org/school/001351/
"Benjamin O. Davis, Jr. Senior High School",64125,f,t,f,f,MYP,t,English,https://ibo.org/school/064125/
Bennett Elementary School,2037,t,f,f,f,PYP,t,English,https://ibo.org/school/002037/
Benteen Elementary School,60225,t,f,f,f,PYP,t,"English, Spanish",https://ibo.org/school/060225/
Bentonville High School,2903,f,f,t,f,DP,t,English,https://ibo.org/school/002903/
Bergen County Academies,1501,f,f,t,f,DP,t,English,https://ibo.org/school/001501/
Berkeley High School,3143,f,f,t,f,DP,t,English,https://ibo.org/school/003143/
Berta Palacios Elementary,60319,t,f,f,f,PYP,t,"English, Spanish",https://ibo.org/school/060319/
Bess Streeter Aldrich Elementary,3186,t,f,f,f,PYP,t,English,https://ibo.org/school/003186/
Bethesda-Chevy Chase High School,941,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/000941/
Betty H. Fairfax High School,6470,f,f,t,f,DP,t,English,https://ibo.org/school/006470/
Bhaktivedanta Academy,50094,f,t,f,f,MYP,t,English,https://ibo.org/school/050094/
Big Sky High School,50070,f,f,t,f,DP,t,English,https://ibo.org/school/050070/
Billingsville Elementary School,60606,t,f,f,f,PYP,t,English,https://ibo.org/school/060606/
"Binghamton High School, IB World School",952,f,f,t,t,"DP, CP",t,English,https://ibo.org/school/000952/
Biotechnology High School,2904,f,f,t,f,DP,t,English,https://ibo.org/school/002904/
Birchwood Elementary School,51799,t,f,f,f,PYP,t,English,https://ibo.org/school/051799/
Biscayne Beach Elementary School,6186,t,f,f,f,PYP,t,"English, Spanish",https://ibo.org/school/006186/
Bishop Amat Memorial High School,2263,f,f,t,f,DP,t,English,https://ibo.org/school/002263/
Bishop Ludden-Grimes Jr/Sr High School,60804,f,f,t,f,DP,t,English,https://ibo.org/school/060804/
Black Elk Elementary,60191,t,f,f,f,PYP,t,"English, Spanish",https://ibo.org/school/060191/
Blair High School,2028,f,t,t,t,"MYP, DP, CP",t,English,https://ibo.org/school/002028/
Bloomfield High School,2776,f,f,t,f,DP,t,English,https://ibo.org/school/002776/
Bloomfield Hills High School,6061,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/006061/
Bob Holcomb Elementary School,51724,t,f,f,f,PYP,t,English,https://ibo.org/school/051724/
Bob Lanier Middle School,2052,f,t,f,f,MYP,t,English,https://ibo.org/school/002052/
Boca Prep International School,2520,t,t,t,f,"PYP, MYP, DP",t,English,https://ibo.org/school/002520/
Bogan Computer Technical High School,2081,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/002081/
Bolton Academy,2453,t,f,f,f,PYP,t,English,https://ibo.org/school/002453/
Bon View Elementary School,49016,t,f,f,f,PYP,t,English,https://ibo.org/school/049016/
Bonita Vista High School,381,f,f,t,f,DP,t,English,https://ibo.org/school/000381/
Booker T. Washington High School,297,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/000297/
Borman Elementary School,50417,t,f,f,f,PYP,t,English,https://ibo.org/school/050417/
Boulder Country Day School,2509,f,t,f,f,MYP,t,English,https://ibo.org/school/002509/
Boulevard Elementary School,4835,t,f,f,f,PYP,t,English,https://ibo.org/school/004835/
Bowman School,62586,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/062586/
Boyce Middle School,2044,f,t,f,f,MYP,t,English,https://ibo.org/school/002044/
Boyd Anderson High School,398,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/000398/
Boyd Elementary School,3185,t,f,f,f,PYP,t,English,https://ibo.org/school/003185/
Bradley International School,2891,t,f,f,f,PYP,t,English,https://ibo.org/school/002891/
Bramlette STEAM Academy,61937,t,f,f,f,PYP,t,"English, Spanish",https://ibo.org/school/061937/
Brentwood Middle School,60193,f,t,f,f,MYP,t,English,https://ibo.org/school/060193/
Briargrove Elementary School,50189,t,f,f,f,PYP,t,"English, Spanish",https://ibo.org/school/050189/
Briarmeadow Charter School,49750,t,f,f,f,PYP,t,English,https://ibo.org/school/049750/
Brien McMahon High School,51107,f,t,t,t,"MYP, DP, CP",t,English,https://ibo.org/school/051107/
Brigham Academy,60361,t,f,f,f,PYP,t,"English, Spanish",https://ibo.org/school/060361/
Bright Academy,60842,t,f,f,f,PYP,t,"English, Spanish",https://ibo.org/school/060842/
Briscoe Elementary School,60442,t,f,f,f,PYP,t,"English, Spanish",https://ibo.org/school/060442/
British International School Chicago South Loop,3362,f,f,t,t,"DP, CP",t,English,https://ibo.org/school/003362/
British International School of Boston,2905,f,f,t,f,DP,t,English,https://ibo.org/school/002905/
British International School of Charlotte,50352,f,f,t,f,DP,t,English,https://ibo.org/school/050352/
British International School of New York,4105,t,t,f,f,"PYP, MYP",t,English,https://ibo.org/school/004105/
British International School of Washington,1428,f,f,t,f,DP,t,English,https://ibo.org/school/001428/
Broad Ripple Middle School,64359,f,t,f,f,MYP,t,English,https://ibo.org/school/064359/
Brockton High School,2906,f,f,t,f,DP,t,English,https://ibo.org/school/002906/
Brody Middle School,49389,f,t,f,f,MYP,t,English,https://ibo.org/school/049389/
Bronx Early College Academy,49302,f,f,t,t,"DP, CP",t,English,https://ibo.org/school/049302/
Bronx Park Middle School,62295,f,t,f,f,MYP,t,"English, Spanish",https://ibo.org/school/062295/
Bronzeville Scholastic Institute,50072,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/050072/
Brooke Point High School,4821,f,f,t,f,DP,t,English,https://ibo.org/school/004821/
Brooklyn Friends School,2909,f,f,t,f,DP,t,English,https://ibo.org/school/002909/
Brooklyn Prospect Charter School,49097,f,f,t,f,DP,t,English,https://ibo.org/school/049097/
Brookside Middle School,2499,f,t,f,f,MYP,t,English,https://ibo.org/school/002499/
Brown Academy of International Studies,49834,f,t,f,f,MYP,t,English,https://ibo.org/school/049834/
Brown International Academy,3198,t,f,f,f,PYP,t,English,https://ibo.org/school/003198/
Bryker Woods Elementary School,63063,t,f,f,f,PYP,t,English,https://ibo.org/school/063063/
Buckland Mills Elementary School,36013,t,f,f,f,PYP,t,English,https://ibo.org/school/036013/
Buffalo Academy of the Sacred Heart,61429,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/061429/
Buist Academy for Advanced Studies,2475,t,t,f,f,"PYP, MYP",t,English,https://ibo.org/school/002475/
Burgess-Peterson Academy,52517,t,f,f,f,PYP,t,English,https://ibo.org/school/052517/
Burke County High School,60485,f,f,f,t,CP,t,English,https://ibo.org/school/060485/
Burton Magnet Elementary School,2445,t,f,f,f,PYP,t,English,https://ibo.org/school/002445/
C Leon King High School,776,f,f,t,f,DP,t,English,https://ibo.org/school/000776/
Cache La Poudre Elementary School,51565,t,f,f,f,PYP,t,English,https://ibo.org/school/051565/
Cache La Poudre Middle School,49572,f,t,f,f,MYP,t,English,https://ibo.org/school/049572/
Cactus Shadows High School,2813,f,f,t,f,DP,t,English,https://ibo.org/school/002813/
Cajon High School,438,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/000438/
Caldwell Heights Elementary,7035,t,f,f,f,PYP,t,English,https://ibo.org/school/007035/
Caleb Greenwood Elementary School,50089,t,f,f,f,PYP,t,English,https://ibo.org/school/050089/
Calhoun Middle School,3629,f,t,f,f,MYP,t,English,https://ibo.org/school/003629/
Camerado Springs Middle School,61486,f,t,f,f,MYP,t,"English, Spanish",https://ibo.org/school/061486/
Campbell High School,985,f,f,t,f,DP,t,English,https://ibo.org/school/000985/
Campbell Middle School,4033,f,t,f,f,MYP,t,English,https://ibo.org/school/004033/
Campus High School,26017,f,f,t,f,DP,t,English,https://ibo.org/school/026017/
Campus International High School,60434,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/060434/
Campus International School,7018,t,t,f,f,"PYP, MYP",t,English,https://ibo.org/school/007018/
Canandaigua Academy,1356,f,f,t,f,DP,t,English,https://ibo.org/school/001356/
