ceeb,school_name,state,latitude,longitude,us_region,is_school_match,is_public_hs,is_private_hs,sector,has_nu_analytics,has_nu_data,crime_risk_need,crime_risk_adv,educational_attainment_need,educational_attainment_adv,family_stability_need,family_stability_adv,housing_stability_need,housing_stability_adv,median_family_income_need,median_family_income_adv,socio_need_index,ap_offered,ap_tests_taken,ap_participation,ap_intensity_src,dual_enrollment_offered,dual_enrollment_rate,testtaker_rate,sat_participation_nu,sat_score_nu,grad_rate_2021,frl_rate,enrollment_9_12,grade_9,grade_10,grade_11,grade_12,child_poverty_saipe,per_pupil_state_local,leaid,district_total_revenue,per_resident_child_funding_total,per_resident_child_funding_state_local,funding_source,percent_going_to_college_mid,percent_going_to_4yr_college_mid,percent_federal_lunch_aid_mid,percent_first_gen_college_mid,number_of_ap_classes_offered_mid,size_of_senior_class_mid,ap_capstone,setting,ib_flag_candidate,meets_min_size,rigor_score,rigor_tier_num,rigor_tier_label,rigor_n_components_used,rigor_components_available,rigor_weighting_scheme,funding_tier,sat_percentile_by_us_region,sat_percentile_by_funding_tier,sat_percentile_by_rigor_tier_label
070831,Glenholme School The,,41.6471252441406,-73.3068695068359,US - Northeast,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,0,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,True,,,,0,none,designed,,,,
070835,Crosby High School,CT,41.5503,-72.9963,US - Northeast,True,True,False,public,True,True,81.0,19.0,83.0,17.0,88.0,12.0,96.0,4.0,86.0,14.0,86.8,1,1.23,0.0268410185822436,nu_tests_taken,1,0.1603578802477632,0.3365450791465932,99.0,1090.0,88.0,83.0006882312457,1453.0,399.0,373.0,363.0,318.0,18.2,,9048300.0,,,,none,63.0,,,,,300.5,0,Medium city,0,True,-0.3614277175194054,1.0,Average,3,ap+crdc_coursework+test_participation,designed,,10.232658336923741,,20.773576705780094
070838,HOLY CROSS HIGH SCHOOL,CT,41.5511,-73.0645,US - Northeast,True,False,True,private,True,True,26.0,74.0,35.0,65.0,33.0,67.0,58.0,42.0,27.0,73.0,35.8,1,2.69,,nu_tests_taken,0,,,69.0,1120.0,,,495.0,119.0,119.0,140.0,117.0,18.2,,,,,,none,,,,,,300.5,0,Medium city,1,True,0.0343639433112607,2.0,Demanding,2,ap+test_participation,designed,,25.22619560534253,,36.291000841042894
070840,John F. Kennedy High School,CT,41.5511,-73.0645,US - Northeast,True,True,False,public,True,True,72.0,28.0,84.0,16.0,72.0,28.0,92.0,8.0,83.0,17.0,80.6,1,3.48,0.0754852624011502,nu_tests_taken,1,0.0941768511861969,0.2437095614665708,99.0,1110.0,85.0,81.8116462976276,1391.0,399.0,384.0,319.0,289.0,18.2,,9048300.0,,,,none,63.0,,,,,300.5,0,Large city,0,True,0.146883796056935,3.0,Very Demanding,3,ap+crdc_coursework+test_participation,designed,,19.06505816458423,,20.924764890282134
070845,Sacred Heart High School,,41.5516510009766,-73.0379638671875,US - Northeast,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,0,,,,,,,,,,,,,,,,,,none,82.5,,,,,50.0,0,Medium city,0,True,,,,0,none,designed,,,,
070850,Chase Collegiate School,,41.547435760498,-73.066520690918,US - Northeast,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,0,,,,,,,,,,,,,,,,,,none,95.0,,,,,50.0,0,Small city/town,0,True,,,,0,none,designed,,,,
070855,W. F. Kaynor Technical High School,CT,41.5511,-73.0645,US - Northeast,True,True,False,public,False,True,,,,,,,,,,,,0,,,none,1,0.0770156438026474,0.2178098676293622,,,97.5,51.74488567990373,831.0,224.0,212.0,200.0,195.0,18.2,,9000020.0,,,,none,,,,,,300.5,0,Medium city,0,True,-0.2182867328785538,2.0,Demanding,2,crdc_coursework+test_participation,designed,,,,
070863,Waterbury Career Academy,CT,41.5587997436523,-73.0212097167969,US - Northeast,True,True,False,public,True,True,74.0,26.0,84.0,16.0,80.0,20.0,94.0,6.0,83.0,17.0,83.0,1,2.31,0.1545064377682403,nu_tests_taken,1,0.3118741058655221,0.5150214592274678,97.0,1120.0,97.5,77.99717912552892,699.0,171.0,186.0,160.0,182.0,18.2,,9048300.0,,,,none,,,,,,,0,12-City: Mid-size,0,True,0.4032481683571972,3.0,Very Demanding,3,ap+crdc_coursework+test_participation,designed,,25.22619560534253,,27.566614420062695
070867,Waterbury Arts Magnet School,CT,41.5543060302734,-73.0372314453125,US - Northeast,True,True,False,public,True,True,58.0,42.0,66.0,34.0,61.0,39.0,86.0,14.0,58.0,42.0,65.8,1,3.36,0.1785714285714285,nu_tests_taken,1,0.1386554621848739,0.4138655462184873,100.0,1090.0,97.5,68.04878048780488,476.0,128.0,120.0,117.0,111.0,18.2,,9048300.0,,,,none,,,,,,,0,12-City: Mid-size,0,True,0.4537896625075062,3.0,Very Demanding,3,ap+crdc_coursework+test_participation,designed,,10.232658336923741,,12.637147335423196
070868,Stepping Stone School,,41.5576591491699,-73.0412445068359,US - Northeast,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,0,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,True,,,,0,none,designed,,,,
070869,Mesivta High School Of Waterbu,,41.5626029968262,-73.0399856567383,US - Northeast,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,0,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,True,,,,0,none,designed,,,,
070870,Wilby High School,CT,41.5754,-73.0318,US - Northeast,True,True,False,public,True,True,,,,,,,,,,,,1,2.38,0.0493311036789297,nu_tests_taken,0,,0.290133779264214,100.0,,79.0,84.94983277591973,1196.0,322.0,296.0,291.0,287.0,18.2,,9048300.0,,,,none,63.0,,,,,300.5,0,Medium city,0,True,-0.228783603024769,2.0,Demanding,3,ap+crdc_coursework+test_participation,designed,,,,
070871,Wolcott High School,CT,41.597,-72.9828,US - Northeast,True,True,False,public,True,True,9.0,91.0,14.0,86.0,1.0,99.0,19.0,81.0,15.0,85.0,11.6,1,1.85,0.204582651391162,nu_tests_taken,1,0.2094926350245499,0.2667757774140752,98.0,1110.0,92.0,30.9328968903437,611.0,154.0,146.0,147.0,164.0,18.2,,9052800.0,,,,none,82.5,54.5,,,25.0,300.5,0,Suburban community,0,True,0.3784615327110381,3.0,Very Demanding,3,ap+crdc_coursework+test_participation,designed,,19.06505816458423,,20.924764890282134
070873,Waterford High School,CT,41.3469,-72.1458,US - Northeast,True,True,False,public,True,True,9.0,91.0,21.0,79.0,27.0,73.0,27.0,73.0,19.0,81.0,20.6,1,3.32,0.2931276297335203,nu_tests_taken,1,0.4488078541374474,0.2426367461430575,97.0,1140.0,95.0,30.575035063113603,713.0,182.0,169.0,189.0,173.0,10.9,,9048600.0,,,,none,63.0,,,,,300.5,0,Suburban community,0,True,0.7075151366941482,4.0,Most Demanding,3,ap+crdc_coursework+test_participation,designed,,39.65962947005601,,25.99660729431722
070874,High Road School-Waterbury,,41.6046600341797,-73.0583724975586,US - Northeast,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,0,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,True,,,,0,none,designed,,,,
