destinationtable,rcdts,level,school_name,district,city,county,district_type,school_type,grades_served,summative_designation,summative_designation_student_group_s,title_i_status,state_senate_district,state_house_district,ebf_tier,pct_ebf_capacity_to_meet_expectations,count_school_enrollment,site_level_per_pupil_expenditures_federal,site_level_per_pupil_expenditures_state_local,site_level_per_pupil_expenditures_subtotal,district_centralized_per_pupil_expenditure_federal,district_centralized_per_pupil_expenditure_state_local,district_centralized_per_pupil_expenditure_subtotal,total_per_pupil_expenditures_federal,total_per_pupil_expenditures_state_local,total_per_pupil_expenditures_subtotal,exclusions,total_expenditures_sber,local_property_taxes,pct_local_property_taxes,other_local_funding,pct_other_local_funding,evidence_based_funding,pct_evidence_based_funding,other_state_funding,pct_other_state_funding,federal_funding,pct_federal_funding,total_revenue_source,eav_per_pupil,total_school_tax_rate_per_100,instructional_expenditure_per_pupil,operating_expenditures,instruction,pct_instruction,general_admin,pct_general_admin,supporting_services,pct_supporting_services,other_expenditures,pct_other_expenditures,education_fund,pct_education_fund,operations_b_m,pct_operations_b_m,transportation,pct_transportation,debt_service,pct_debt_service,tort,pct_tort,munic_ret_soc_security,pct_munic_ret_soc_security,fire_prev_safety,pct_fire_prev_safety,capital_projects_fund,pct_capital_projects_fund,total_expenditures_afr,per_pupil_pension_obligation_amount,total_pension_obligation_amount
Finance1,32-038-0060-26-1001,School,Cissna Park Jr High School,Cissna Park CUSD 6,Cissna Park,Iroquois,Unit District,Middle/Junior High School,6 - 8,Exemplary,All Students,Title 1 Eligible but Not Served,53,106,,,65.34,0,4272.43,4272.43,439.6,8362.12,8801.71,439.6,12634.54,13074.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,32-038-0060-26-0001,School,Cissna Park Sr High School,Cissna Park CUSD 6,Cissna Park,Iroquois,Unit District,High School,9 - 12,Exemplary,All Students,Title 1 Eligible but Not Served,53,106,,,90.59,0,8592.31,8592.31,439.6,8362.12,8801.71,439.6,16954.42,17394.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,12-013-0100-26-0000,District,,Clay City CUSD 10,Clay City,Clay,Unit District,,,,,,55,110,2,88.3,244.665,1322.83,7765.37,9088.2,92.61,8524.67,8617.28,1415.44,16290.04,17705.48,656538.8,4988449.39,1812520,39.9,280582,6.2,1358226,29.9,462728,10.2,633149,13.9,4547205,196326.11,3.75,9455.85,17067.87,2039815,50.5,242794,6,1470866,36.4,287125,7.1,3023032,74.8,440543,10.9,227929,5.6,0,0,258888,6.4,90208,2.2,0,0,0,0,4040600,604.46,162598.59
Finance1,12-013-0100-26-2001,School,Clay City Elem School,Clay City CUSD 10,Clay City,Clay,Unit District,Elementary School,PK - 5,Commendable,All Students,Title 1 Schoolwide,55,110,,,124,1557.49,7315.55,8873.04,92.61,8524.67,8617.28,1650.1,15840.23,17490.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,12-013-0100-26-0002,School,Clay City High School,Clay City CUSD 10,Clay City,Clay,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,55,110,,,61.67,539.15,8024.52,8563.67,92.61,8524.67,8617.28,631.75,16549.19,17180.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,12-013-0100-26-1001,School,Clay City Jr High School,Clay City CUSD 10,Clay City,Clay,Unit District,Middle/Junior High School,6 - 8,Targeted,Low Income,Title 1 Schoolwide,55,110,,,59,1648.73,8439.88,10088.61,92.61,8524.67,8617.28,1741.34,16964.55,18705.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,17-020-0150-26-0000,District,,Clinton CUSD 15,Clinton,Dewitt,Unit District,,,,,,44,87,4,114.5,1737.98,1685.57,10165.51,11851.08,0,8234,8234,1685.57,18399.51,20085.08,6907338,41814803.94,21427207,71.4,1651065,5.5,2155106,7.2,1776879,5.9,2996186,10,30006443,345817.99,3.56,10043.46,15253.86,15446944,50,786674,2.5,8285310,26.8,6361611,20.6,21365580,69.2,3625177,11.7,1480309,4.8,1770310,5.7,974883,3.2,786129,2.5,878151,2.8,0,0,30880539,721.94,1243189.17
Finance1,17-020-0150-26-2004,School,Clinton Elem School,Clinton CUSD 15,Clinton,Dewitt,Unit District,Elementary School,2 - 5,Targeted,Children with Disabilities,Title 1 Targeted,44,87,,,502.6,1670,8585,10255,0,8234,8234,1670,16819,18489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,17-020-0150-26-0001,School,Clinton High School,Clinton CUSD 15,Clinton,Dewitt,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,44,87,,,459.44,747,12277,13024,0,8234,8234,747,20511,21258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,17-020-0150-26-1002,School,Clinton Jr High School,Clinton CUSD 15,Clinton,Dewitt,Unit District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Eligible but Not Served,44,87,,,375,1188,10894,12082,0,8234,8234,1188,19128,20316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,17-020-0150-26-2003,School,Douglas Elem School,Clinton CUSD 15,Clinton,Dewitt,Unit District,Elementary School,PK - 1,Comprehensive,All Students,Title 1 Targeted,44,87,,,174.25,4169,7867,12036,0,8234,8234,4169,16101,20270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,17-020-0150-26-2005,School,Lincoln Elem School,Clinton CUSD 15,Clinton,Dewitt,Unit District,Elementary School,PK - 1,Comprehensive,All Students,Title 1 Targeted,44,87,,,181.75,3130,9838,12968,0,8234,8234,3130,18072,21202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
