source_id,source_name,state,source_city,CEEB,nu_name,nu_city,name_score_set,name_score_sort,city_match,tier,needs_review
05-016-0540-04-1012,Robert Frost JHS,IL,SCHAUMBURG,1670,Robert Morris College,CHICAGO,54.54545454545455,54.054054054054056,False,reject,False
05-016-0540-04-3111,The District 54 Early Learning Center,IL,SCHAUMBURG,143996,Stelle Learning Center,STELLE,81.08108108108108,61.01694915254237,False,reject,False
05-016-0540-04-2009,Thomas Dooley Elem School,IL,SCHAUMBURG,141844,Cove School,NORTHBROOK,70.58823529411765,50.0,False,reject,False
05-016-0540-04-2006,Winston Churchill Elem School,IL,SCHAUMBURG,141844,Cove School,NORTHBROOK,70.58823529411765,44.99999999999999,False,reject,False
06-016-0810-02-2001,John F Kennedy Elem School,IL,SCHILLER PARK,140897,John F Kennedy High School,CHICAGO,89.36170212765957,80.76923076923077,False,review,True
06-016-0810-02-1001,Lincoln Middle School,IL,SCHILLER PARK,140108,Middle Fork School,DANVILLE,83.87096774193549,76.92307692307692,False,review,True
06-016-0810-02-2003,Washington Elem School,IL,SCHILLER PARK,140842,George Washington High School,CHICAGO,87.17948717948718,78.43137254901961,False,review,True
26-085-0050-26-0001,Rushville-Industry High School,IL,RUSHVILLE,142340,Industry HS,INDUSTRY,100.0,80.0,False,review,True
26-085-0050-26-2004,Schuyler Industry Middle School,IL,RUSHVILLE,142340,Industry HS,INDUSTRY,85.71428571428571,58.82352941176471,False,reject,False
26-085-0050-26-2001,Washington Elem School,IL,RUSHVILLE,140842,George Washington High School,CHICAGO,87.17948717948718,78.43137254901961,False,review,True
26-085-0050-26-2002,Webster Elem School,IL,RUSHVILLE,140219,Western High School,BARRY,73.6842105263158,73.6842105263158,False,reject,False
01-086-0020-26-2001,Bluffs Elementary School,IL,BLUFFS,140360,Bluffs High School,BLUFFS,83.87096774193549,66.66666666666667,True,review,True
01-086-0020-26-0001,Bluffs High School,IL,BLUFFS,140360,Bluffs High School,BLUFFS,100.0,100.0,True,auto_accept,False
01-086-0020-26-1001,Bluffs Junior High School,IL,BLUFFS,140360,Bluffs High School,BLUFFS,100.0,83.72093023255813,True,auto_accept,False
19-022-0450-02-2001,Ardmore Elem School,IL,VILLA PARK,141844,Cove School,NORTHBROOK,70.58823529411765,60.0,False,reject,False
19-022-0450-02-3002,District 45 Early Childhood Center ,IL,VILLA PARK,140228,Peace Center,DOLTON,66.66666666666666,39.13043478260869,False,reject,False
19-022-0450-02-1006,Jackson Middle School,IL,VILLA PARK,140108,Middle Fork School,DANVILLE,83.87096774193549,76.92307692307692,False,review,True
19-022-0450-02-1007,Jefferson Middle School,IL,VILLA PARK,140108,Middle Fork School,DANVILLE,83.87096774193549,78.04878048780488,False,review,True
19-022-0450-02-2010,North Elem School,IL,VILLA PARK,140279,Belvidere North High School,BELVIDERE,82.75862068965517,72.72727272727273,False,review,True
19-022-0450-02-2011,Schafer Elem School,IL,LOMBARD,141844,Cove School,NORTHBROOK,70.58823529411765,60.0,False,reject,False
19-022-0450-02-2016,Stevenson School,IL,LOMBARD,143550,Adlai E Stevenson High School,LINCOLNSHIRE,100.0,71.11111111111111,False,review,True
19-022-0450-02-2013,Westmore Elem School,IL,LOMBARD,141844,Cove School,NORTHBROOK,70.58823529411765,51.61290322580645,False,reject,False
