ceeb,org_name,sc_instnm,state,region,urbanicity,latitude,longitude,sc_control,sc_preddeg,iclevel,carnegie_basic,sc_ugds,sc_tuition_in,net_price,sc_pct_pell,sc_adm_rate,sc_sat_avg,sc_completion_150_4yr,cluster,cluster_fine,pca_1,pca_2
006824,Texas Southern University,Texas Southern University,TX,South,4.0,29.721046,-95.361113,1.0,3.0,1.0,16.0,6619.0,9173.0,19734.0,0.713,0.9335,913.0,0.1989,0.0,1.0,-1.1150840891341847,-0.32180815377614397
006825,Texas Southmost College,Texas Southmost College,TX,South,4.0,25.899628,-97.492241,1.0,2.0,2.0,3.0,3453.0,3148.0,5458.0,0.3138,,,,0.0,0.0,-1.6507041556120283,0.5274404900563813
000363,Texas State Tech Coll Amarillo,Amarillo College,TX,South,4.0,35.187839,-101.846988,1.0,2.0,2.0,4.0,7347.0,2136.0,6040.0,0.4395,,,,0.0,0.0,-1.8637221656660596,0.4590294105277339
006328,Texas State Tech Coll-Waco,Texas State Technical College,TX,South,4.0,31.639295,-97.08471,1.0,2.0,2.0,7.0,9153.0,7192.0,10280.0,0.4542,,,,0.0,0.0,-1.5311409109880885,0.6062987428745643
006667,Texas State University,Texas State University,TX,South,4.0,29.888885,-97.943029,1.0,3.0,1.0,16.0,34547.0,11450.0,16438.0,0.3615,0.8948,1093.0,0.5617,0.0,0.0,-1.2100622967104053,1.6998850006965203
006827,Texas Tech University,Texas Tech University,TX,South,4.0,33.583448,-101.874783,1.0,3.0,1.0,15.0,32446.0,11852.0,20071.0,0.2575,0.7089,1182.0,0.6749,0.0,0.0,-0.9145679657881337,2.087611790709917
003423,Texas Tech University Hlth Sci,Texas Tech University,TX,South,4.0,33.583448,-101.874783,1.0,3.0,1.0,15.0,32446.0,11852.0,20071.0,0.2575,0.7089,1182.0,0.6749,0.0,0.0,-0.9145679657881337,2.087611790709917
002519,The College of New Jersey,The College of New Jersey,NJ,Northeast,3.0,40.268651,-74.778791,1.0,3.0,1.0,18.0,6831.0,18685.0,25458.0,0.2013,0.6214,1247.0,0.8523,0.0,0.0,-0.1470934250281749,1.2622169635734157
002638,The New School: Parsons School of Design,The New School,NY,Northeast,4.0,40.735508,-73.997114,2.0,3.0,1.0,16.0,6819.0,56386.0,55359.0,0.1532,0.6252,,0.7119,1.0,4.0,3.837938360582864,2.066059819801094
001592,The Ohio State University,Ohio State University-Main Campus,OH,Midwest,4.0,39.999803,-83.007525,1.0,3.0,1.0,15.0,44617.0,12859.0,18292.0,0.1945,0.5082,1407.0,0.8773,0.0,0.0,-0.9248059348906432,2.4387304265995997
005108,The Citadel,Citadel Military College of South Carolina,SC,South,4.0,32.797183,-79.958775,1.0,3.0,1.0,18.0,2624.0,12570.0,21002.0,0.1918,0.9809,1184.0,0.7282,0.0,0.0,-0.4020694415615405,1.0955205431426713
000560,Thaddeus Stevens State School of Technology,Thaddeus Stevens College of Technology,PA,Northeast,4.0,40.037951,-76.288718,1.0,2.0,2.0,7.0,1449.0,9050.0,13291.0,0.4053,0.5294,1120.0,,0.0,0.0,-0.8822781979825672,-0.0419827278701352
006826,Texas Woman's University,Texas Woman's University,TX,South,4.0,33.226211,-97.127842,1.0,3.0,1.0,17.0,8804.0,8648.0,10948.0,0.4045,0.9499,,0.4421,0.0,0.0,-1.4076539899695486,0.7805346988180759
006828,Texas Wesleyan University,Texas Wesleyan University,TX,South,4.0,32.732962,-97.279613,2.0,3.0,1.0,17.0,1671.0,37934.0,19398.0,0.4114,0.6239,1051.0,0.3235,1.0,2.0,1.276813155978452,-0.18474890769932442
006820,Texas Christian University,Texas Christian University,TX,South,4.0,32.70961,-97.364758,2.0,3.0,1.0,16.0,10897.0,57220.0,33531.0,0.1347,0.426,1303.0,0.8569,1.0,4.0,2.530576334786022,2.0316353688877618
006206,Texas A&M University Texarkana,Texas A&M University-Texarkana,TX,South,4.0,33.490482,-94.103617,1.0,3.0,1.0,19.0,1748.0,7930.0,12637.0,0.5126,0.8019,1006.0,0.312,0.0,0.0,-1.1706625379951983,-0.3788222796002773
006188,Texas A&M University Commerce,East Texas A&M University,TX,South,2.0,33.242112,-95.904579,1.0,3.0,1.0,17.0,8249.0,10026.0,11268.0,0.405,0.9259,1067.0,0.4593,0.0,3.0,-1.57713106576769,-0.05546966696929845
