source_id,source_name,state,source_city,CEEB,nu_name,nu_city,name_score_set,name_score_sort,city_match,tier,needs_review
00423376,ANDREAN HIGH SCHOOL,IN,MERRILLVILLE,151225,andrean high school,MERRILLVILLE,100,100,t,auto_accept,f
A0301418,BAIS YAAKOV HIGH SCHOOL OF INDIANA,IN,SOUTH BEND,151647,Avon High School,AVON,81.48148148148148,52,f,reject,f
00422689,BISHOP DWENGER HIGH SCHOOL,IN,FORT WAYNE,151082,bishop dwenger high school,FORT WAYNE,100,100,t,auto_accept,f
00422703,BISHOP LUERS HIGH SCHOOL,IN,FORT WAYNE,151654,bishop chatard high school,INDIANAPOLIS,85.71428571428571,72,f,review,t
01901514,BREBEUF JESUIT PREPARATORY SCHOOL,IN,INDIANAPOLIS,151653,brebeuf jesuit preparatory sch,INDIANAPOLIS,95.23809523809524,95.23809523809523,t,auto_accept,f
02159782,CONCORDIA LUTHERAN HIGH SCHOOL,IN,FORT WAYNE,151095,concordia lutheran high school,FORT WAYNE,100,100,t,auto_accept,f
A9701461,COVENANT CHRISTIAN HIGH SCHOOL,IN,INDIANAPOLIS,151662,covenant christian high school,INDIANAPOLIS,100,100,t,auto_accept,f
BB161111,"CROSSING NATIONAL, INC",IN,ELKHART,151700,international school indiana,INDIANAPOLIS,53.06122448979592,53.06122448979591,f,reject,f
A1901910,DEPAUL ACADEMY,IN,SOUTH BEND,152680,oldenburg academy,OLDENBURG,70.96774193548387,70.96774193548387,f,reject,f
A0301470,GATEWAY WOODS SCHOOL,IN,LEO,150447,Options Charter School,CARMEL,66.66666666666666,47.61904761904761,f,reject,f
A1901924,GOOD NEWS ACADEMY,IN,REELSVILLE,152680,oldenburg academy,OLDENBURG,64.70588235294117,64.70588235294117,f,reject,f
A2301191,GREENWOOD CHRISTIAN ACADEMY HIGH SCHOOL,IN,GREENWOOD,151391,greenwood christian academy,GREENWOOD,100,81.81818181818181,t,auto_accept,f
00352187,ILLIANA CHRISTIAN HIGH SCHOOL,IN,DYER,151662,covenant christian high school,INDIANAPOLIS,84,71.1864406779661,f,review,t
00426901,INDIANA ACADEMY,IN,CICERO,152474,Indiana Academy For Science Math And Humanities,MUNCIE,100,48.38709677419355,f,reject,f
A1901938,KINWELL ACADEMY INC,IN,MARION,152680,oldenburg academy,OLDENBURG,58.333333333333336,50,f,reject,f
01902325,LA LUMIERE SCHOOL,IN,LAPORTE,151992,la lumiere school,LA PORTE,100,100,f,auto_accept,f
00424201,LUTHERAN HIGH SCHOOL OF INDIANAPOLIS,IN,INDIANAPOLIS,151716,lutheran high sch indianapolis,INDIANAPOLIS,92.85714285714286,90.9090909090909,t,auto_accept,f
00423048,MARIAN HIGH SCHOOL,IN,MISHAWAKA,152343,marian high school,MISHAWAKA,100,100,t,auto_accept,f
00423682,MARQUETTE CATHOLIC HIGH SCHOOL,IN,MICHIGAN CITY,152966,seton catholic high school,RICHMOND,86.95652173913044,71.42857142857143,f,review,t
00422576,MATER DEI HIGH SCHOOL,IN,EVANSVILLE,150970,mater dei high school,EVANSVILLE,100,100,t,auto_accept,f
A0901516,MIDWEST ACADEMY,IN,CARMEL,151760,Thomas Carr Howe Academy,INDIANAPOLIS,63.63636363636363,56.41025641025641,f,reject,f
00422113,OLDENBURG ACADEMY,IN,OLDENBURG,152680,oldenburg academy,OLDENBURG,100,100,t,auto_accept,f
00421914,OUR LADY OF PROVIDENCE HIGH SCHOOL,IN,CLARKSVILLE,151647,Avon High School,AVON,81.48148148148148,43.99999999999999,f,reject,f
A0700963,PROVIDENCE CRISTO REY HIGH SCHOOL,IN,INDIANAPOLIS,151647,Avon High School,AVON,81.48148148148148,53.06122448979591,f,reject,f
00422306,REITZ MEMORIAL HIGH SCHOOL,IN,EVANSVILLE,150980,reitz memorial high school,EVANSVILLE,100,100,t,auto_accept,f
A2301201,RIVER MONTESSORI HIGH SCHOOL,IN,SOUTH BEND,151647,Avon High School,AVON,81.48148148148148,50,f,reject,f
00421903,RONCALLI HIGH SCHOOL,IN,INDIANAPOLIS,151651,roncalli high school,INDIANAPOLIS,100,100,t,auto_accept,f
00421244,SCECINA MEMORIAL HIGH SCHOOL,IN,INDIANAPOLIS,151745,scecina memorial high school,INDIANAPOLIS,100,100,t,auto_accept,f
00422973,ST JOSEPH HIGH SCHOOL,IN,SOUTH BEND,153265,saint josephs high school,SOUTH BEND,97.67441860465117,97.67441860465115,t,auto_accept,f
A0700892,ST THEODORE GUERIN HIGH SCHOOL,IN,NOBLESVILLE,152613,saint theodore guerin high sch,NOBLESVILLE,94.73684210526315,94.73684210526316,t,auto_accept,f
A0301566,TRINITY LUTHERAN HIGH SCHOOL,IN,SEYMOUR,151095,concordia lutheran high school,FORT WAYNE,83.33333333333333,68.96551724137932,f,review,t
A0301569,UNIVERSITY HIGH SCHOOL OF INDIANA,IN,CARMEL,150448,university high school indiana,CARMEL,100,95.23809523809523,t,auto_accept,f
A1902041,YESHIVA OF SOUTH BEND,IN,SOUTH BEND,153530,South Central High School,UNION MILLS,52.17391304347826,43.47826086956522,f,reject,f
00489575,BISHOP CARROLL CATHOLIC HIGH SCHOOL,KS,WICHITA,173167,bishop carroll catholic h s,WICHITA,100,100,t,auto_accept,f
00488822,BISHOP MIEGE HIGH SCHOOL,KS,SHAWNEE MISSION,171532,bishop miege high school,SHAWNEE MISSION,100,100,t,auto_accept,f
A2301230,"CONCORDIA ACADEMY, WICHITA",KS,WICHITA,171720,saint james academy,LENEXA,60.869565217391305,53.65853658536586,f,reject,f
00488775,HAYDEN CATHOLIC HIGH SCHOOL,KS,TOPEKA,173167,bishop carroll catholic h s,WICHITA,85.1063829787234,64.51612903225806,f,reject,f
00489531,KAPAUN MT CARMEL CATHOLIC HIGH SCHOOL,KS,WICHITA,173190,kapaun mount carmel hs,WICHITA,100,86.15384615384616,t,auto_accept,f
A2392106,MARY SEAT OF WISDOM ACADEMY,KS,WICHITA,171550,Sumner Academy Of Arts And Science,KANSAS CITY,62.295081967213115,62.295081967213115,f,reject,f
A0701018,MAUR HILL - MOUNT ACADEMY,KS,ATCHISON,171680,bishop seabury academy,LAWRENCE,61.904761904761905,61.904761904761905,f,reject,f
00488618,ST THOMAS AQUINAS HIGH SCHOOL,KS,OVERLAND PARK,172776,saint thomas aquinas hs,OVERLAND PARK,100,100,t,auto_accept,f
00489305,TIPTON CATHOLIC HIGH SCHOOL,KS,TIPTON,171435,trinity catholic high school,HUTCHINSON,87.27272727272728,87.27272727272728,f,review,t
A1902085,APPALACHIAN CHALLENGE ACADEMY,KY,GRAYS KNOB,181505,mercy academy,LOUISVILLE,70,42.85714285714286,f,reject,f
00514355,ASSUMPTION HIGH SCHOOL,KY,LOUISVILLE,181510,assumption high school,LOUISVILLE,100,100,t,auto_accept,f
00514526,BETHLEHEM HIGH SCHOOL/DIOCESE,KY,BARDSTOWN,180205,Berea High School,BEREA,78.57142857142857,65.21739130434783,f,reject,f
00515916,BISHOP BROSSART HIGH SCHOOL,KY,ALEXANDRIA,180205,Berea High School,BEREA,78.57142857142857,68.18181818181819,f,reject,f
00515778,COVINGTON CATHOLIC HIGH SCHOOL,KY,PARK HILLS,180535,covington catholic high school,PARK HILLS,100,100,t,auto_accept,f
00514311,DE SALES HIGH SCHOOL,KY,LOUISVILLE,180645,Danville High School,DANVILLE,80,70,f,review,t
00515745,HOLY CROSS DISTRICT HIGH SCHOOL,KY,COVINGTON,181511,holy cross high school,LOUISVILLE,100,83.01886792452831,f,review,t
00514344,HOLY CROSS HIGH SCHOOL/DIOCESE,KY,LOUISVILLE,181511,holy cross high school,LOUISVILLE,100,84.61538461538461,t,auto_accept,f
00515224,LEXINGTON CATHOLIC HIGH SCHOOL,KY,LEXINGTON,181435,lexington catholic high school,LEXINGTON,100,100,t,auto_accept,f
00513974,MERCY ACADEMY,KY,LOUISVILLE,181505,mercy academy,LOUISVILLE,100,100,t,auto_accept,f
00515359,NEWPORT CENTRAL CATHOLIC HIGH SCHOOL,KY,NEWPORT,181520,Central High School,LOUISVILLE,100,69.0909090909091,f,review,t
00515734,NOTRE DAME ACADEMY,KY,PARK HILLS,180575,notre dame academy,PARK HILLS,100,100,t,auto_accept,f
00516148,OWENSBORO CATHOLIC HIGH SCHOOL,KY,OWENSBORO,182045,owensboro catholic high school,OWENSBORO,100,100,t,auto_accept,f
00514049,PRESENTATION ACADEMY,KY,LOUISVILLE,181595,presentation academy,LOUISVILLE,100,100,t,auto_accept,f
A1701836,SPHINX ACADEMY,KY,LEXINGTON,181505,mercy academy,LOUISVILLE,70,59.25925925925925,f,reject,f
00515596,ST HENRY DISTRICT HIGH SCHOOL,KY,ERLANGER,180770,saint henry district hs,ERLANGER,100,100,t,auto_accept,f
00514683,ST XAVIER HIGH SCHOOL,KY,LOUISVILLE,181610,saint xavier high school,LOUISVILLE,100,100,t,auto_accept,f
02028556,THE DAVID SCHOOL,KY,DAVID,180650,Kentucky School For The Deaf,DANVILLE,76.92307692307692,59.09090909090908,f,reject,f
00516352,TRINITY HIGH SCHOOL,KY,WHITESVILLE,181540,trinity high school,LOUISVILLE,100,100,f,auto_accept,f
00514537,TRINITY HIGH SCHOOL,KY,LOUISVILLE,181540,trinity high school,LOUISVILLE,100,100,t,auto_accept,f
A9902112,LOUISIANA NEW SCHOOL ACADEMY,LA,BATON ROUGE,190104,Nova Academy,ARABI,73.6842105263158,50,f,reject,f
00538773,LOYOLA COLLEGE PREPARATORY HIGH SCHOOL,LA,SHREVEPORT,192690,loyola college preparatory,SHREVEPORT,100,81.25,t,auto_accept,f
00540818,LUTHERAN HIGH SCHOOL OF GREATER NEW ORLEANS,LA,METAIRIE,190242,Tara High School,BATON ROUGE,81.48148148148148,37.28813559322034,f,reject,f
A0701071,NOTRE DAME HIGH SCHOOL,LA,CROWLEY,190075,Amite High School,AMITE,82.05128205128204,76.92307692307692,f,review,t
BB170193,ST JOSEPH'S ACADEMY,LA,BATON ROUGE,190235,saint josephs academy,BATON ROUGE,97.29729729729729,97.2972972972973,t,auto_accept,f
Y2120358,ST MICHAEL THE ARCHANGEL HIGH SCHOOL,LA,BATON ROUGE,190186,st michael the archangel h s,BATON ROUGE,100,100,t,auto_accept,f
01922793,ST THOMAS MORE CATHOLIC HIGH SCHOOL,LA,LAFAYETTE,190195,catholic high school,BATON ROUGE,100,72.72727272727273,f,review,t
00539981,TEURLINGS CATHOLIC HIGH SCHOOL,LA,LAFAYETTE,190195,catholic high school,BATON ROUGE,100,80,f,review,t
A0901581,UNIVERSITY ACADEMY,LA,ALEXANDRIA,190104,Nova Academy,ARABI,73.6842105263158,66.66666666666667,f,reject,f
02034377,ARLINGTON SCHOOL,MA,BELMONT,220033,Arlington High School,ARLINGTON,100,86.48648648648648,f,auto_accept,f
A9701932,BAIS YAAKOV OF BOSTON HIGH SCHOOL,MA,BRIGHTON,220235,East Boston High School,EAST BOSTON,87.8048780487805,64.28571428571428,f,reject,f
00603723,BERKSHIRE SCHOOL,MA,SHEFFIELD,221900,berkshire school,SHEFFIELD,100,100,t,auto_accept,f
A1399015,BERKSHIRE WALDORF HIGH SCHOOL,MA,STOCKBRIDGE,221900,berkshire school,SHEFFIELD,100,71.11111111111111,f,review,t
00602016,BISHOP FEEHAN,MA,ATTLEBORO,220077,BISHOP FEEHAN,ATTLEBORO,100,100,t,auto_accept,f
00599839,BISHOP FENWICK HIGH SCHOOL,MA,PEABODY,221723,bishop fenwick high school,PEABODY,100,100,t,auto_accept,f
00601726,BISHOP STANG HIGH SCHOOL,MA,NORTH DARTMOUTH,221723,bishop fenwick high school,PEABODY,85.71428571428571,72,f,review,t
A0301789,BOSTON UNIVERSITY ACADEMY,MA,BOSTON,220202,boston university academy,BOSTON,100,100,t,auto_accept,f
00603803,BROOKS SCHOOL,MA,NORTH ANDOVER,221610,brooks school,NORTH ANDOVER,100,100,t,auto_accept,f
00603836,BUXTON SCHOOL,MA,WILLIAMSTOWN,222410,buxton school,WILLIAMSTOWN,100,100,t,auto_accept,f
00600744,CARDINAL SPELLMAN HIGH SCHOOL,MA,BROCKTON,221145,Lee High School,LEE,84.61538461538461,50,f,reject,f
00599453,CENTRAL CATHOLIC,MA,LAWRENCE,221115,central catholic high school,LAWRENCE,100,72.72727272727273,t,review,t
00604068,COMMONWEALTH SCHOOL,MA,BOSTON,220235,East Boston High School,EAST BOSTON,66.66666666666666,66.66666666666667,f,reject,f
