nces_id_12,calculus_offered,advmath_offered,chemistry_offered,physics_offered,stem_advanced_offered
010087000344,,,,,
010087000345,,,,,
010087000347,,,,,
010087000348,,,,,
010087000350,,,,,
010087001766,0.0,0.0,0.0,0.0,0.0
010087002442,0.0,1.0,1.0,0.0,2.0
010090001749,0.0,1.0,1.0,1.0,3.0
010090002074,,,,,
010093000280,,,,,
010093000359,,,,,
010093000360,1.0,0.0,1.0,1.0,3.0
010093000361,1.0,0.0,1.0,0.0,2.0
010093000363,1.0,0.0,1.0,1.0,3.0
010093000364,,,,,
010093001672,,,,,
010093002167,1.0,0.0,1.0,1.0,3.0
010096000365,0.0,0.0,1.0,1.0,2.0
010096000367,0.0,1.0,1.0,1.0,3.0
010096000368,1.0,1.0,1.0,1.0,4.0
010099000326,,,,,
010099000369,,,,,
010099000370,1.0,1.0,1.0,1.0,4.0
010099000371,,,,,
010099000372,,,,,
010102000373,,,,,
010102000374,1.0,1.0,1.0,1.0,4.0
010102000375,,,,,
010102000377,1.0,1.0,1.0,1.0,4.0
010102000379,1.0,1.0,1.0,1.0,4.0
010102000380,1.0,1.0,1.0,1.0,4.0
010102000381,0.0,1.0,1.0,1.0,3.0
010102000385,0.0,1.0,1.0,1.0,3.0
010102000386,,,,,
010102000387,1.0,1.0,1.0,1.0,4.0
010102000396,,,,,
010102000400,,,,,
010102000403,,,,,
010102000413,,,,,
010102000414,,,,,
010102000420,,,,,
010102000440,,,,,
010102000446,,,,,
010102000453,,,,,
010102000458,,,,,
010102000459,,,,,
010102001444,,,,,
010102001497,0.0,0.0,0.0,0.0,0.0
010102001676,,,,,
010102001679,,,,,
010105000281,,,,,
010105000388,0.0,0.0,1.0,0.0,1.0
010105000389,0.0,0.0,1.0,1.0,2.0
010105000390,0.0,0.0,1.0,1.0,2.0
010105000391,,,,,
010105000392,,,,,
010105000393,,,,,
010108000394,1.0,1.0,1.0,1.0,4.0
010108001767,,,,,
010108002497,,,,,
010111000395,,,,,
010111000397,0.0,1.0,1.0,1.0,3.0
010111000401,,,,,
010111000402,0.0,1.0,1.0,1.0,3.0
010111000404,,,,,
010111000406,0.0,1.0,1.0,1.0,3.0
010111000407,,,,,
010111000408,,,,,
010111000409,,,,,
010111000814,,,,,
010111001785,,,,,
010114000411,0.0,1.0,1.0,0.0,2.0
010114000412,,,,,
010114000415,0.0,1.0,1.0,1.0,3.0
010114000416,0.0,1.0,1.0,0.0,2.0
010114000418,,,,,
010114000419,0.0,1.0,1.0,0.0,2.0
010114000422,0.0,1.0,1.0,0.0,2.0
010114000423,,,,,
010114000424,0.0,1.0,1.0,0.0,2.0
010114000425,0.0,1.0,1.0,0.0,2.0
010114001860,1.0,1.0,1.0,1.0,4.0
010114002357,,,,,
010117000081,,,,,
010117000426,1.0,1.0,1.0,1.0,4.0
010117000427,,,,,
010117000429,1.0,1.0,1.0,1.0,4.0
010117000430,,,,,
010117000431,,,,,
010117000432,,,,,
010117000433,,,,,
010117000434,,,,,
010117000435,,,,,
010117000436,,,,,
010117000437,,,,,
010117000438,,,,,
010117001615,,,,,
010117001728,,,,,
010117001786,,,,,
010117002175,0.0,0.0,0.0,0.0,0.0
010117002456,0.0,0.0,0.0,0.0,0.0
010120000148,1.0,1.0,1.0,1.0,4.0
010120000439,,,,,
010120000441,,,,,
010120000442,,,,,
010123000443,,,,,
010123000447,,,,,
010123000448,,,,,
010123000450,,,,,
010123000454,,,,,
010123000456,,,,,
010123001447,,,,,
010123001448,,,,,
010123001449,,,,,
010123001499,,,,,
010123001501,1.0,1.0,1.0,0.0,3.0
010123001634,,,,,
010123001817,,,,,
010123002480,,,,,
010123002482,,,,,
010123002512,0.0,1.0,1.0,0.0,2.0
010123002513,0.0,0.0,0.0,0.0,0.0
010126000460,,,,,
010126000461,0.0,1.0,1.0,1.0,3.0
010129000102,,,,,
010129000463,1.0,1.0,1.0,1.0,4.0
010129000465,1.0,1.0,1.0,1.0,4.0
010129000468,1.0,1.0,1.0,0.0,3.0
010129000470,,,,,
010129000471,1.0,1.0,1.0,1.0,4.0
010129000833,,,,,
010129001432,,,,,
