source_id,source_name,state,source_city,CEEB,nu_name,nu_city,name_score_set,name_score_sort,city_match,tier,needs_review
52456,Overland Trail Middle School,,,290021,I-School,INCLINE VLG,85.71428571428571,44.44444444444444,f,reject,f
51492,Overlook Elementary,,,231567,Barber Elementary School,HIGHLAND PARK,69.76744186046511,60.46511627906976,f,reject,f
52335,Owen J. Roberts High School,,,394085,Owen J Roberts High School,POTTSTOWN,100,100,f,review,f
6724,Owosso High/Middle School,,,232915,Owosso High School,OWOSSO,100,83.72093023255813,f,review,t
63394,Oxford High School,,,392975,New Oxford High School,NEW OXFORD,100,90,f,review,f
62343,P.S. 020 Clinton Hill - K020,,,364255,Port Clinton High School,PORT CLINTON,57.142857142857146,57.14285714285714,f,reject,f
37013,P.S. 242 - The Young Diplomats Magnet Academy,,,447396,Academy The,WEATHERFORD,100,41.509433962264154,f,reject,f
50148,P.S. 316 Elijah G. Stroud Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,57.14285714285714,f,reject,f
3232,Pacific Beach Middle School,,,053143,Pacific Beach High School,SAN LUIS OBISPO,88.88888888888889,84.61538461538461,f,review,t
4997,Pahokee Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,72.34042553191489,f,review,t
1884,Pahokee Middle Senior High School,,,101320,Pahokee Middle-Senior HS,PAHOKEE,100,100,f,review,f
2968,Palisade High School,,,061140,Palisade Senior High School,PALISADE,100,85.1063829787234,f,review,f
64402,Palisades Charter High School,,,052327,Palisades Charter High School,PACIFIC PALISADE,100,100,f,review,f
847,Palm Harbor University High School,,,231941,Harbor High School,WHITE LAKE,100,69.23076923076923,f,review,t
4994,Palmdale Learning Plaza,,,221356,Vhs Learning,MAYNARD,80,51.42857142857142,f,reject,f
1142,Palmer High School,,,061040,Lewis Palmer High School,MONUMENT,100,85.71428571428572,f,review,f
61093,Palmer Trinity  School,,,101055,Palmer Trinity School,CUTLER BAY,100,100,f,review,f
60293,Palmetto Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,70.83333333333333,f,review,t
1403,Palmyra-Macedon High School,,,281850,Palmyra High School,PALMYRA,100,82.6086956521739,f,review,t
44012,Palmyra-Macedon Primary School,,,334400,Palmyra Macedon High School,PALMYRA,89.79591836734694,77.19298245614034,f,review,t
50273,Palo Verde High School,,,290200,Palo Verde High School,LAS VEGAS,100,100,f,review,f
6597,Pan American Academy Charter School,,,020381,American Charter Academy,WASILLA,100,81.35593220338984,f,review,t
2515,Park Center Senior High School,,,241594,Center School,MINNEAPOLIS,100,60.46511627906976,f,reject,f
62802,Park Crossing High School,,,270575,Park High School,LIVINGSTON,100,78.04878048780488,f,review,t
4773,Park High School,,,394515,Academy Park High School,SHARON HILL,100,80,f,review,t
1935,Park International Magnet School,,,480068,International School,BELLEVUE,100,76.92307692307692,f,review,t
62349,Park Place Community MS 266,,,111060,Community School,DECATUR,72,55.81395348837209,f,reject,f
62347,Park Slope PS/MS 282,,,330858,Park Slope Collegiate,BROOKLYN,66.66666666666666,53.65853658536586,f,reject,f
848,Parkdale High School,,,210897,Parkdale High School,RIVERDALE,100,100,f,review,f
2301,Parkland High School,,,442238,Parkland High School,EL PASO,100,100,f,review,f
60286,Parkside Elementary,,,030551,Accelerated Elementary/Sec Sch,TUCSON,68.9655172413793,53.06122448979591,f,reject,f
62553,Parsons Memorial Elementary School,,,112683,Memorial Day School,SAVANNAH,88.23529411764706,67.9245283018868,f,review,t
60746,Paso Verde School,,,290021,I-School,INCLINE VLG,85.71428571428571,56.00000000000001,f,reject,f
64230,Pasquotank High School,,,341144,Pasquotank County High School,ELIZABETH CITY,100,86.27450980392157,f,review,f
63221,Pathways College Preparatory School,,,052192,College Preparatory School,OAKLAND,100,85.24590163934427,f,review,f
1358,Patrick Henry High School,,,420590,Henry High School,HENRY,100,80.95238095238095,f,review,t
475,Patrick Henry Senior High School - (Camden),,,410290,Camden High School,CAMDEN,100,63.1578947368421,f,reject,f
60425,Patterson Dual Language Literature Magnet School,,,343024,Patterson School The,LENOIR,88.88888888888889,47.05882352941176,f,reject,f
62782,Patterson Elementary,,,231567,Barber Elementary School,HIGHLAND PARK,72.72727272727272,59.09090909090908,f,reject,f
996,Paxon School for Advanced Studies,,,100780,Paxon Sch For Advanced Studies,JACKSONVILLE,95.23809523809524,95.23809523809523,f,review,f
4157,Peachtree Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,69.38775510204081,f,review,t
4010,Pedro Menendez High School,,,101601,Pedro Menendez High School,ST AUGUSTINE,100,100,f,review,f
51171,Pelham Middle School,,,290021,I-School,INCLINE VLG,85.71428571428571,57.14285714285714,f,reject,f
442,Pensacola High School,,,101365,Pensacola Catholic High School,PENSACOLA,100,82.35294117647058,f,review,t
62190,Peoria Academy,,,030703,Peoria Flex Academy,PEORIA,100,84.84848484848484,f,review,t
60978,Perry Creek Elementary,,,231806,Perry Learning Center,GRAND BLANC,65.11627906976744,65.11627906976744,f,reject,f
3599,Peter Hobart Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,65.38461538461539,f,review,t
4991,Peyton Forest Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,64.15094339622642,f,reject,f
29017,PFC Robert P. Hernandez Middle School,,,290021,I-School,INCLINE VLG,85.71428571428571,36.36363636363637,f,reject,f
2302,Philadelphia High School for Girls,,,393430,Philadelphia HS For Girls,PHILADELPHIA,100,100,f,review,f
2447,Phillippi Shores Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,67.85714285714286,f,review,t
51412,Phillips Preparatory School,,,391470,Mmi Preparatory School,FREELAND,90,81.63265306122449,f,review,t
61239,Pickard Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,72.34042553191489,f,review,t
3133,Piedmont Open Middle School,,,340047,Piedmont School,HIGH POINT,100,71.42857142857143,f,review,t
6567,Pierson High School,,,030237,Pierson Vocational High School,NOGALES,100,77.55102040816327,f,review,t
1516,Pike High School,,,252876,North Pike High School,SUMMIT,100,84.21052631578947,f,review,t
49509,Pilot Butte Middle School,,,350230,Butte School,BUTTE,100,64.86486486486487,f,reject,f
3226,Pinckneyville Middle School,,,290021,I-School,INCLINE VLG,85.71428571428571,45.714285714285715,f,reject,f
50871,Pine Street School,,,373658,Street School,TULSA,100,83.87096774193549,f,review,t
60332,Pine View Elementary School,,,101577,Pine View School,OSPREY,100,74.4186046511628,f,review,t
51631,Pine View Middle School,,,101577,Pine View School,OSPREY,100,82.05128205128204,f,review,t
50438,Pioneer Valley Chinese Immersion Charter School,,,182037,Valley School,OWENSBORO,100,43.333333333333336,f,reject,f
3273,Pipkin Middle School,,,290021,I-School,INCLINE VLG,85.71428571428571,57.14285714285714,f,reject,f
60564,Pittsburgh Linden PreK-5,,,2745,ITT Pittsburgh,PITTSBURGH,83.33333333333333,63.1578947368421,f,reject,f
4775,Plantation High School,,,100497,Plantation High School,PLANTATION,100,100,f,review,f
6747,Plantation Middle School,,,100497,Plantation High School,PLANTATION,87.17948717948718,82.6086956521739,f,review,t
