ibo_school_id,ib_name,offers_dp,offers_cp,offers_myp,offers_pyp,programmes,ncessch,nces_name,city,state
50646,Adams Elementary School,f,f,f,t,PYP,3101348,ADAMS ELEMENTARY SCHOOL,OMAHA,NE 
50646,Adams Elementary School,f,f,f,t,PYP,1900522,Adams Elementary School,Carroll,IA 
50646,Adams Elementary School,f,f,f,t,PYP,0101665,Adams Elementary School,Gadsden,AL 
50646,Adams Elementary School,f,f,f,t,PYP,4100032,Adams Elementary School,Corvallis,OR 
50646,Adams Elementary School,f,f,f,t,PYP,1600333,ADAMS ELEMENTARY SCHOOL,REXBURG,ID 
50646,Adams Elementary School,f,f,f,t,PYP,5301685,Adams Elementary School,Yakima,WA 
50646,Adams Elementary School,f,f,f,t,PYP,1600042,ADAMS ELEMENTARY SCHOOL,BOISE,ID 
50646,Adams Elementary School,f,f,f,t,PYP,2603860,Adams Elementary School,BAD AXE,MI 
50646,Adams Elementary School,f,f,f,t,PYP,2606050,Adams Elementary School,MIDLAND,MI 
4793,Adrian High School,t,f,f,f,DP,2603927,Adrian High School,ADRIAN,MI 
4793,Adrian High School,t,f,f,f,DP,4100756,Adrian High School,Adrian,OR 
3920,Agoura High School,t,f,f,f,DP,,,,
27015,Aina Haina Elementary School,f,f,f,t,PYP,1500227,Aina Haina Elementary School,Honolulu,HI 
6092,Alameda International High School,t,t,t,f,"MYP, DP, CP",,,,
3407,Al-Arqam Islamic School and College Preparatory,t,f,f,f,DP,,,,
3132,Albemarle Road Middle School,f,f,t,f,MYP,,,,
3024,Albert Einstein Academies Charter School,f,f,t,t,"PYP, MYP",,,,
1478,Albert Einstein High School,t,f,f,f,DP,,,,
51031,A.L. Burruss Elementary School,f,f,f,t,PYP,1301338,A.L. Burruss Elementary School,Marietta,GA 
3197,Alcuin School,t,f,t,f,"MYP, DP",,,,
50435,Alderwood Elementary School,f,f,f,t,PYP,5300098,Alderwood Elementary School,Bellingham,WA 
4166,Alexander R. Shepherd Elementary School,f,f,f,t,PYP,,,,
63320,Alex Sanger Preparatory School,f,f,t,f,MYP,4801350,ALEX SANGER PREPARATORY SCHOOL,DALLAS,TX 
4935,Algonac JR/SR High School,t,f,f,f,DP,,,,
4985,Alice Birney Elementary School,f,f,f,t,PYP,2200583,Alice Birney Elementary School,Metairie,LA 
4208,Alice Deal Middle School,f,f,t,f,MYP,,,,
2033,Alice L. Barnard Elementary School,f,f,t,f,MYP,,,,
877,Allen D. Nease High School,t,f,f,f,DP,,,,
1130,Allen High School,t,f,f,f,DP,3100010,ALLEN HIGH SCHOOL,ALLEN,NE 
63692,All Nations Community School,t,f,f,f,DP,,,,
60820,All Saints Episcopal Day School,f,f,t,t,"PYP, MYP",,,,
61597,Alonso High School,t,f,f,f,DP,1203711,ALONSO HIGH SCHOOL,TAMPA,FL 
7024,Alonzo De Leon Middle School,f,f,t,f,MYP,,,,
51737,Alpharetta High School,t,f,f,f,DP,1303364,Alpharetta High School,Alpharetta,GA 
2457,Alpine Elementary,f,f,f,t,PYP,0602332,Alpine Elementary,Littlerock,CA 
