ceeb,school_name,state,sector,rigor_tier_label,rigor_score,ap_score_nu,ap_tests_offered,ap_efficiency,ap_efficiency_quadrant,stem_advanced_offered,calculus_offered,physics_offered,grad_rate_2021
233495,StandishSterling Central JrSr High School,MI,public,Demanding,0.1102582624804654,,,,,4.0,1.0,1.0,87.0
233500,Central Montcalm Middle  High School,MI,public,Average,-0.1814872046214696,,,,,2.0,0.0,0.0,92.0
233508,Henry Ford II High School,MI,public,Demanding,0.2561749526656977,2.91,27.0,-0.8712374911889271,Broad & high-performing,3.0,0.0,1.0,98.0
233509,Sterling Christian School,,private,,,,,,,,,,
233510,Sterling Heights Senior HS,MI,public,Average,-0.4717611234074279,2.36,16.0,-0.40347594197558156,"Limited (few offered, low scores)",4.0,1.0,1.0,91.0
233515,Lakeshore High School,MI,public,Average,-0.1225364633896219,3.07,20.0,0.25914707462561304,Broad & high-performing,4.0,1.0,1.0,93.0
233520,Stockbridge JrSr High School,MI,public,Average,-0.1324357289792351,2.5,9.0,0.6942530110779377,"Limited (few offered, low scores)",3.0,1.0,1.0,82.0
233521,Heartwood Renaissance Academy,,private,,,,,,,,,,
233522,Lake Area Christian School,,private,,,,,,,,,,
233523,Sturgis Christian School,,private,,,,,,,,,,
233525,Sturgis High School,MI,public,Average,-0.3054193453984748,2.57,14.0,0.18773361022267787,"Limited (few offered, low scores)",4.0,1.0,1.0,90.0
233535,Suttons Bay Senior High School,MI,public,Demanding,0.0951911066858406,,,,,3.0,0.0,1.0,90.0
233540,Swartz Creek High School,MI,public,Average,-0.1997255534943427,3.04,13.0,1.07930331921045,"Selective & effective (few offered, high scores)",4.0,1.0,1.0,96.0
233541,Swartz Creek Virtual Learning Center,MI,public,Demanding,0.1964098818469642,,,,,2.0,0.0,1.0,34.5
233542,Genesee Academy,,private,,,,,,,,,,
233545,Tawas Area High School,MI,public,Average,-0.1554260951607643,2.69,7.0,1.2528069505151758,"Limited (few offered, low scores)",4.0,1.0,1.0,97.5
233547,Taylor High School,MI,public,Average,-0.4308114908090868,2.46,14.0,0.008127740037059905,"Limited (few offered, low scores)",4.0,1.0,1.0,71.0
233549,Light And Life Christian HS,,private,,,,,,,,,,
233552,Baptist Park School,,private,,,,,,,,,,
233555,Tecumseh High School,MI,public,Average,-0.0438540555838094,3.23,18.0,0.768717594921319,Broad & high-performing,4.0,1.0,1.0,97.5
233565,Bedford Senior High School,MI,public,Average,-0.0067663189365214,2.99,9.0,1.4943155237229644,"Selective & effective (few offered, high scores)",4.0,1.0,1.0,96.0
233568,State Line Christian School,,private,,,,,,,,,,
233575,Three Rivers High School,MI,public,Average,-0.2183289151896995,2.37,10.0,0.35782871902753144,"Limited (few offered, low scores)",3.0,1.0,0.0,87.0
233580,ST FRANCIS HIGH SCHOOL,MI,private,Demanding,0.1908994874556893,3.23,14.0,1.265368831336387,"Selective & effective (few offered, high scores)",,,,
233585,Central High School,MI,public,Demanding,0.3476333245850783,3.46,23.0,0.523443096154231,Broad & high-performing,4.0,1.0,1.0,94.0
233586,Traverse City Christian School,,private,,,,,,,,,,
233587,West Senior High,MI,public,Demanding,0.2610679223790203,3.44,23.0,0.49078748339320966,Broad & high-performing,4.0,1.0,1.0,95.0
233588,Traverse City High School,MI,public,Average,-0.5147509087266128,,,,,2.0,0.0,0.0,22.0
233595,Trenton High School,MI,public,Average,-0.1059371157800833,2.8,23.0,-0.554192124959478,Broad & high-performing,4.0,1.0,1.0,99.5
233602,Athens High School,MI,public,Very Demanding,0.8074646075161206,3.4,31.0,-0.5678262149589692,Broad & high-performing,4.0,1.0,1.0,97.0
233603,Troy High School,MI,public,Very Demanding,1.2161450057342835,3.77,31.0,0.036302621119928435,Broad & high-performing,4.0,1.0,1.0,98.0
233604,Bethany Christian School,,private,,,,,,,,,,
233605,Pine River Area High School,MI,public,Average,-0.1141983416428013,,,,,4.0,1.0,1.0,92.0
233606,Faith Christian Academy,,private,,,,,,,,,,
233607,Troy College and Career High School,MI,public,Average,-0.4319163496377379,,,,,4.0,1.0,1.0,47.0
