destinationtable,rcdts,level,school_name,district,city,county,district_type,school_type,grades_served,summative_designation,summative_designation_student_group_s,title_i_status,state_senate_district,state_house_district,ebf_tier,pct_ebf_capacity_to_meet_expectations,count_school_enrollment,site_level_per_pupil_expenditures_federal,site_level_per_pupil_expenditures_state_local,site_level_per_pupil_expenditures_subtotal,district_centralized_per_pupil_expenditure_federal,district_centralized_per_pupil_expenditure_state_local,district_centralized_per_pupil_expenditure_subtotal,total_per_pupil_expenditures_federal,total_per_pupil_expenditures_state_local,total_per_pupil_expenditures_subtotal,exclusions,total_expenditures_sber,local_property_taxes,pct_local_property_taxes,other_local_funding,pct_other_local_funding,evidence_based_funding,pct_evidence_based_funding,other_state_funding,pct_other_state_funding,federal_funding,pct_federal_funding,total_revenue_source,eav_per_pupil,total_school_tax_rate_per_100,instructional_expenditure_per_pupil,operating_expenditures,instruction,pct_instruction,general_admin,pct_general_admin,supporting_services,pct_supporting_services,other_expenditures,pct_other_expenditures,education_fund,pct_education_fund,operations_b_m,pct_operations_b_m,transportation,pct_transportation,debt_service,pct_debt_service,tort,pct_tort,munic_ret_soc_security,pct_munic_ret_soc_security,fire_prev_safety,pct_fire_prev_safety,capital_projects_fund,pct_capital_projects_fund,total_expenditures_afr,per_pupil_pension_obligation_amount,total_pension_obligation_amount
Finance1,17-064-0870-25-2011,School,Sheridan Elem School,Bloomington SD 87,Bloomington,McLean,Unit District,Elementary School,K - 5,Intensive,"All Students, From Comprehensive",Title 1 Schoolwide,46,91,,,308.25,3127.34,8681.27,11808.61,956.48,5680.02,6636.5,4083.82,14361.29,18445.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,17-064-0870-25-2012,School,Stevenson Elem School,Bloomington SD 87,Bloomington,McLean,Unit District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,46,91,,,337.5,3669.27,11489.02,15158.29,956.48,5680.02,6636.5,4625.75,17169.04,21794.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,17-064-0870-25-2013,School,Washington Elem School,Bloomington SD 87,Bloomington,McLean,Unit District,Elementary School,K - 5,Exemplary,All Students,Title 1 Eligible but Not Served,46,91,,,376,1033.25,5782.62,6815.86,956.48,5680.02,6636.5,1989.73,11462.63,13452.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,17-020-0180-26-0001,School,Blue Ridge High School,Blue Ridge CUSD 18,Farmer City,Dewitt,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,44,88,,,154.81,0,11864.41,11864.41,841,9869.78,10710.78,841,21734.19,22575.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,17-020-0180-26-2005,School,Blue Ridge Intermediate-Jr High Sch,Blue Ridge CUSD 18,Mansfield,Dewitt,Unit District,Elementary School,4 - 8,Commendable,All Students,Title 1 Schoolwide,44,88,,,231.01,304.3,7800.2,8104.5,841,9869.78,10710.78,1145.3,17669.98,18815.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,17-020-0180-26-2003,School,Ruth M Schneider Elem School,Blue Ridge CUSD 18,Farmer City,Dewitt,Unit District,Elementary School,PK - 3,Commendable,All Students,Title 1 Schoolwide,44,88,,,260.41,1.07,5997.66,5998.74,841,9869.78,10710.78,842.07,15867.44,16709.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,13-041-3180-27-2001,School,Bluford Grade School,Bluford Unit School District 318,Bluford,Jefferson,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,58,116,,,238.5,0,6991.22,6991.22,1059.61,5459.65,6519.26,1059.61,12450.86,13510.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,13-041-3180-27-0001,School,Webber High School,Bluford Unit School District 318,Bluford,Jefferson,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,58,116,,,130.5,21.66,7475.44,7497.1,1059.61,5459.65,6519.26,1081.27,12935.09,14016.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,03-003-0020-26-3002,School,Bond County CUSD 2 Early Childhood Center,Bond County CUSD 2,Greenville,Bond,Unit District,Special School,PK,,,Title 1 Ineligible Due to Ranking,55,109,,,76.05,0,10649.07,10649.07,368.7,2379.92,2748.62,368.7,13028.99,13397.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,03-003-0020-26-0001,School,Bond Cty Comm Unit 2 High School,Bond County CUSD 2,Greenville,Bond,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,55,109,,,472.46,204.42,11081.72,11286.13,368.7,2379.92,2748.62,573.12,13461.64,14034.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
