school_id,our_name,our_city,state,sector,bob_ceeb,bob_name,bob_city,match_rule,score,confidence
4206079,Richland HS,Johnstown,PA,public,391512,Pine-Richland High School,Gibsonia,ceeb_exact,100.0,high
4201989,Ridgway Area HS,Ridgway,PA,public,394228,Ridgway Area High School,Ridgway,ceeb_exact,100.0,high
4201934,Ridley HS,Folsom,PA,public,391395,Ridley High School,Folsom,ceeb_exact,100.0,high
4207238,Ringgold SHS,Monongahela,PA,public,392705,Ringgold High School,Monongahela,ceeb_exact,100.0,high
4207704,River Valley HS,Blairsville,PA,public,392960,Valley High School,New Kensington,ceeb_exact,100.0,high
4200700,Riverside HS,Ellwood City,PA,public,391237,Riverside High School,Ellwood City,ceeb_exact,100.0,high
4202496,Riverside JSHS,Taylor,PA,public,394780,Riverside Junior Senior HS,TAYLOR,exact_normalized_name,99.0,high
4206928,Riverview JSHS,Oakmont,PA,public,393080,Riverview High School,OAKMONT,exact_normalized_name,99.0,high
4200765,Robeson HS for Human Services,Philadelphia,PA,public,393347,Paul Robeson HS Human Services,PHILADELPHIA,subset_same_city,97.0,high
4200712,Rochester High School,Rochester,PA,public,394270,Rochester Area High School,Rochester,ceeb_exact,100.0,high
4206210,Rockwood Area JSHS,Rockwood,PA,public,394280,Rockwood Area Jr-Sr High Sch,ROCKWOOD,exact_normalized_name,99.0,high
4204126,Rocky Grove JSHS,Franklin,PA,public,391435,Rocky Grove High School,Franklin,ceeb_exact,100.0,high
4207146,Roosevelt Campus of the Norristown Area HS,Norristown,PA,public,393020,Norristown Area High School,Norristown,ceeb_exact,100.0,high
4203844,Roxborough HS,Philadelphia,PA,public,393445,Roxborough High School,Philadelphia,ceeb_exact,100.0,high
4207499,STEM at Showalter,Chester,PA,public,390628,Stem At Showalter,CHESTER,exact_normalized_name,99.0,high
4207086,SUN Area Technical Institute,New Berlin,PA,public,,,,unmatched,,
4206136,Saegertown JSHS,Saegertown,PA,public,394315,Saegertown High School,SAEGERTOWN,exact_normalized_name,99.0,high
4202833,Salisbury SHS,Allentown,PA,public,390039,Salisbury High School,ALLENTOWN,exact_normalized_name,99.0,high
4204002,Salisbury-Elk Lick JSHS,Salisbury,PA,public,394350,Salisbury-Elk Lick High School,Salisbury,ceeb_exact,100.0,high
4205352,Saucon Valley SHS,Hellertown,PA,public,391745,Saucon Valley Senior HS,Hellertown,ceeb_exact,100.0,high
4203861,Saul W B Agricultural School,Philadelphia,PA,public,393427,W B Saul High School,PHILADELPHIA,subset_same_city,97.0,high
4200965,Sayre Area HS,Sayre,PA,public,394375,Sayre Area High School,Sayre,ceeb_exact,100.0,high
4203825,Sayre William L MS,Philadelphia,PA,public,393944,William L Sayre High School,PHILADELPHIA,subset_same_city,97.0,high
4200993,School of the Future,Philadelphia,PA,public,392779,High School Of The Future,PHILADELPHIA,exact_normalized_name,99.0,high
4205264,Schuylkill Haven SHS,Schuylkill Haven,PA,public,394385,Schuylkill Haven Area HS,SCHUYKL HAVN,subset_multi_token,90.0,review
