name,school_id,offers_pyp,offers_myp,offers_dp,offers_cp,programmes,offers_any_ib,languages,ibo_url
Franklin Academy - Sunrise,060279,false,true,false,false,MYP,true,"English, Spanish",https://ibo.org/school/060279/
Franklin High School,000600,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/000600/
Franklin High School,001193,false,false,true,false,DP,true,English,https://ibo.org/school/001193/
Franklin International Exploratory Academy,051329,false,true,false,false,MYP,true,English,https://ibo.org/school/051329/
Franklin Middle School,049237,false,true,false,false,MYP,true,English,https://ibo.org/school/049237/
Frazier International Magnet School,004117,true,true,false,false,"PYP, MYP",true,English,https://ibo.org/school/004117/
Fred Armon Toomer Elementary,052467,true,false,false,false,PYP,true,"English, Chinese, Other",https://ibo.org/school/052467/
Fred M. Lynn Middle School,049175,false,true,false,false,MYP,true,English,https://ibo.org/school/049175/
Frederick Douglass High School,004046,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/004046/
Freedom 7 Elementary School of International Studies,002251,true,false,false,false,PYP,true,English,https://ibo.org/school/002251/
Freehold Township High School,050086,false,false,true,false,DP,true,English,https://ibo.org/school/050086/
Fremont International Academy,061341,true,false,false,false,PYP,true,English,https://ibo.org/school/061341/
French American International School of Boca Raton,052033,true,false,false,false,PYP,true,"English, French",https://ibo.org/school/052033/
French International School of Oregon,004047,true,true,false,false,"PYP, MYP",true,"English, French",https://ibo.org/school/004047/
French-American School of New York,050387,false,false,true,false,DP,true,English,https://ibo.org/school/050387/
Fresno High School,001469,false,true,true,true,"MYP, DP, CP",true,English,https://ibo.org/school/001469/
Fridley High School,002492,false,true,true,true,"MYP, DP, CP",true,English,https://ibo.org/school/002492/
Fridley Middle School,002570,false,true,false,false,MYP,true,English,https://ibo.org/school/002570/
Fridley Preschool,060967,true,false,false,false,PYP,true,English,https://ibo.org/school/060967/
Frisco High School,060843,false,false,true,false,DP,true,English,https://ibo.org/school/060843/
Fullerton Union High School,000441,false,false,true,false,DP,true,English,https://ibo.org/school/000441/
"G-Star School of the Arts for Film, Animation and the Performing Arts",007107,false,false,true,false,DP,true,English,https://ibo.org/school/007107/
Galileo Magnet High School,002130,false,true,true,false,"MYP, DP",true,"English, Spanish",https://ibo.org/school/002130/
